From	To	Species	Gene Name
Q06547	ENSG00000104064	Homo sapiens	GA binding protein transcription factor subunit beta 1(GABPB1)
O14530	ENSG00000115514	Homo sapiens	thioredoxin domain containing 9(TXNDC9)
Q92504	ENSG00000227402	Homo sapiens	solute carrier family 39 member 7(SLC39A7)
Q92504	ENSG00000224399	Homo sapiens	solute carrier family 39 member 7(SLC39A7)
Q92504	ENSG00000226614	Homo sapiens	solute carrier family 39 member 7(SLC39A7)
Q92504	ENSG00000229802	Homo sapiens	solute carrier family 39 member 7(SLC39A7)
Q92504	ENSG00000206288	Homo sapiens	solute carrier family 39 member 7(SLC39A7)
Q92504	ENSG00000112473	Homo sapiens	solute carrier family 39 member 7(SLC39A7)
Q9UL54	ENSG00000149930	Homo sapiens	TAO kinase 2(TAOK2)
Q9H4M9	ENSG00000110047	Homo sapiens	EH domain containing 1(EHD1)
Q9Y666	ENSG00000113504	Homo sapiens	solute carrier family 12 member 7(SLC12A7)
Q9Y666	ENSG00000276482	Homo sapiens	solute carrier family 12 member 7(SLC12A7)
Q96A35	ENSG00000143314	Homo sapiens	mitochondrial ribosomal protein L24(MRPL24)
A3KMH1	ENSG00000102763	Homo sapiens	von Willebrand factor A domain containing 8(VWA8)
Q9UKL0	ENSG00000089902	Homo sapiens	REST corepressor 1(RCOR1)
Q9BU76	ENSG00000143793	Homo sapiens	chromosome 1 open reading frame 35(C1orf35)
Q9BTV5	ENSG00000105255	Homo sapiens	fibronectin type III and SPRY domain containing 1(FSD1)
Q7Z4G1	ENSG00000188243	Homo sapiens	COMM domain containing 6(COMMD6)
Q9BTV4	ENSG00000170876	Homo sapiens	transmembrane protein 43(TMEM43)
Q9Y5U2	ENSG00000184281	Homo sapiens	tumor suppressing subtransferable candidate 4(TSSC4)
Q7Z4G4	ENSG00000066651	Homo sapiens	tRNA methyltransferase 11 homolog(TRMT11)
Q96A33	ENSG00000108588	Homo sapiens	coiled-coil domain containing 47(CCDC47)
Q9UKL6	ENSG00000141179	Homo sapiens	phosphatidylcholine transfer protein(PCTP)
Q9NWY4	ENSG00000056050	Homo sapiens	histone PARylation factor 1(HPF1)
Q9Y5U9	ENSG00000134049	Homo sapiens	immediate early response 3 interacting protein 1(IER3IP1)
P57054	ENSG00000185808	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class P(PIGP)
Q8WWY3	ENSG00000274894	Homo sapiens	pre-mRNA processing factor 31(PRPF31)
Q8WWY3	ENSG00000275885	Homo sapiens	pre-mRNA processing factor 31(PRPF31)
Q8WWY3	ENSG00000274651	Homo sapiens	pre-mRNA processing factor 31(PRPF31)
Q8WWY3	ENSG00000277953	Homo sapiens	pre-mRNA processing factor 31(PRPF31)
Q8WWY3	ENSG00000274144	Homo sapiens	pre-mRNA processing factor 31(PRPF31)
Q8WWY3	ENSG00000275117	Homo sapiens	pre-mRNA processing factor 31(PRPF31)
Q8WWY3	ENSG00000277707	Homo sapiens	pre-mRNA processing factor 31(PRPF31)
Q8WWY3	ENSG00000277154	Homo sapiens	pre-mRNA processing factor 31(PRPF31)
Q8WWY3	ENSG00000105618	Homo sapiens	pre-mRNA processing factor 31(PRPF31)
Q8WWY3	ENSG00000276421	Homo sapiens	pre-mRNA processing factor 31(PRPF31)
Q9Y5V0	ENSG00000120963	Homo sapiens	zinc finger protein 706(ZNF706)
Q9BTU6	ENSG00000155252	Homo sapiens	phosphatidylinositol 4-kinase type 2 alpha(PI4K2A)
Q9Y676	ENSG00000204568	Homo sapiens	mitochondrial ribosomal protein S18B(MRPS18B)
Q9Y676	ENSG00000203624	Homo sapiens	mitochondrial ribosomal protein S18B(MRPS18B)
Q9Y676	ENSG00000223775	Homo sapiens	mitochondrial ribosomal protein S18B(MRPS18B)
Q9Y676	ENSG00000233813	Homo sapiens	mitochondrial ribosomal protein S18B(MRPS18B)
Q9Y676	ENSG00000226111	Homo sapiens	mitochondrial ribosomal protein S18B(MRPS18B)
Q9Y676	ENSG00000227420	Homo sapiens	mitochondrial ribosomal protein S18B(MRPS18B)
Q9Y676	ENSG00000229861	Homo sapiens	mitochondrial ribosomal protein S18B(MRPS18B)
Q9Y679	ENSG00000115307	Homo sapiens	AUP1 lipid droplet regulating VLDL assembly factor(AUP1)
Q96A26	ENSG00000114023	Homo sapiens	family with sequence similarity 162 member A(FAM162A)
Q9Y678	ENSG00000181789	Homo sapiens	COPI coat complex subunit gamma 1(COPG1)
Q9Y5V3	ENSG00000179222	Homo sapiens	MAGE family member D1(MAGED1)
Q9Y673	ENSG00000120697	Homo sapiens	ALG5 dolichyl-phosphate beta-glucosyltransferase(ALG5)
Q9Y672	ENSG00000088035	Homo sapiens	ALG6 alpha-1,3-glucosyltransferase(ALG6)
Q9UKM9	ENSG00000125970	Homo sapiens	RALY heterogeneous nuclear ribonucleoprotein(RALY)
Q9UKM7	ENSG00000177239	Homo sapiens	mannosidase alpha class 1B member 1(MAN1B1)
Q9BU61	ENSG00000178057	Homo sapiens	NADH:ubiquinone oxidoreductase complex assembly factor 3(NDUFAF3)
Q5BKT4	ENSG00000175548	Homo sapiens	ALG10 alpha-1,2-glucosyltransferase B(ALG10B)
Q5BKT4	ENSG00000139133	Homo sapiens	ALG10 alpha-1,2-glucosyltransferase(ALG10)
Q9NWZ8	ENSG00000046647	Homo sapiens	gem nuclear organelle associated protein 8(GEMIN8)
Q5K4L6	ENSG00000263163	Homo sapiens	solute carrier family 27 member 3(SLC27A3)
Q5K4L6	ENSG00000143554	Homo sapiens	solute carrier family 27 member 3(SLC27A3)
Q5JSL3	ENSG00000147251	Homo sapiens	dedicator of cytokinesis 11(DOCK11)
Q99996	ENSG00000127914	Homo sapiens	A-kinase anchoring protein 9(AKAP9)
Q8WX93	ENSG00000129116	Homo sapiens	palladin, cytoskeletal associated protein(PALLD)
Q8WX92	ENSG00000188986	Homo sapiens	negative elongation factor complex member B(NELFB)
Q9Y680	ENSG00000079150	Homo sapiens	FKBP prolyl isomerase 7(FKBP7)
P46379	ENSG00000229524	Homo sapiens	BAG cochaperone 6(BAG6)
P46379	ENSG00000233348	Homo sapiens	BAG cochaperone 6(BAG6)
P46379	ENSG00000204463	Homo sapiens	BAG cochaperone 6(BAG6)
P46379	ENSG00000096155	Homo sapiens	BAG cochaperone 6(BAG6)
P46379	ENSG00000227761	Homo sapiens	BAG cochaperone 6(BAG6)
P46379	ENSG00000234651	Homo sapiens	BAG cochaperone 6(BAG6)
P46379	ENSG00000228760	Homo sapiens	BAG cochaperone 6(BAG6)
Q96QR8	ENSG00000146676	Homo sapiens	purine rich element binding protein B(PURB)
Q9Y5W8	ENSG00000071189	Homo sapiens	sorting nexin 13(SNX13)
Q9BTT4	ENSG00000133398	Homo sapiens	mediator complex subunit 10(MED10)
Q6YHK3	ENSG00000156535	Homo sapiens	CD109 molecule(CD109)
Q9BTT6	ENSG00000137269	Homo sapiens	leucine rich repeat containing 1(LRRC1)
Q9UKN8	ENSG00000125484	Homo sapiens	general transcription factor IIIC subunit 4(GTF3C4)
Q9BTT0	ENSG00000143401	Homo sapiens	acidic nuclear phosphoprotein 32 family member E(ANP32E)
Q99986	ENSG00000100749	Homo sapiens	VRK serine/threonine kinase 1(VRK1)
P57076	ENSG00000159079	Homo sapiens	cilia and flagella associated protein 298(CFAP298)
Q8WWW0	ENSG00000153179	Homo sapiens	Ras association domain family member 3(RASSF3)
Q8WWW0	ENSG00000266094	Homo sapiens	Ras association domain family member 5(RASSF5)
Q9Y5X1	ENSG00000130340	Homo sapiens	sorting nexin 9(SNX9)
Q9Y5X3	ENSG00000089006	Homo sapiens	sorting nexin 5(SNX5)
Q9Y692	ENSG00000162419	Homo sapiens	glucocorticoid modulatory element binding protein 1(GMEB1)
Q5XKP0	ENSG00000174917	Homo sapiens	mitochondrial contact site and cristae organizing system subunit 13(MICOS13)
Q9H4B0	ENSG00000128694	Homo sapiens	O-sialoglycoprotein endopeptidase like 1(OSGEPL1)
Q86X95	ENSG00000138433	Homo sapiens	corepressor interacting with RBPJ, CIR1(CIR1)
Q86WX3	ENSG00000187051	Homo sapiens	ribosomal protein S19 binding protein 1(RPS19BP1)
Q9Y697	ENSG00000244005	Homo sapiens	NFS1 cysteine desulfurase(NFS1)
Q9Y696	ENSG00000169504	Homo sapiens	chloride intracellular channel 4(CLIC4)
P54803	ENSG00000054983	Homo sapiens	galactosylceramidase(GALC)
P54802	ENSG00000108784	Homo sapiens	N-acetyl-alpha-glucosaminidase(NAGLU)
P17812	ENSG00000171793	Homo sapiens	CTP synthase 1(CTPS1)
P57086	ENSG00000171222	Homo sapiens	SCAN domain containing 1(SCAND1)
Q9H4A6	ENSG00000113384	Homo sapiens	golgi phosphoprotein 3(GOLPH3)
Q00403	ENSG00000137947	Homo sapiens	general transcription factor IIB(GTF2B)
Q9H4A5	ENSG00000143457	Homo sapiens	golgi phosphoprotein 3 like(GOLPH3L)
P57088	ENSG00000109133	Homo sapiens	transmembrane protein 33(TMEM33)
Q9Y5Y2	ENSG00000095906	Homo sapiens	NUBP iron-sulfur cluster assembly factor 2, cytosolic(NUBP2)
Q9H4A4	ENSG00000176393	Homo sapiens	arginyl aminopeptidase(RNPEP)
Q9H4A3	ENSG00000060237	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
Q9Y5Y0	ENSG00000162769	Homo sapiens	FLVCR choline and heme transporter 1(FLVCR1)
P57081	ENSG00000160193	Homo sapiens	WD repeat domain 4(WDR4)
Q9Y624	ENSG00000158769	Homo sapiens	F11 receptor(F11R)
Q5VVQ6	ENSG00000180667	Homo sapiens	YOD1 deubiquitinase(YOD1)
Q9Y623	ENSG00000264424	Homo sapiens	myosin heavy chain 4(MYH4)
Q9H4I3	ENSG00000170638	Homo sapiens	TraB domain containing(TRABD)
Q9Y5Q9	ENSG00000119041	Homo sapiens	general transcription factor IIIC subunit 3(GTF3C3)
Q9BTZ2	ENSG00000284807	Homo sapiens	dehydrogenase/reductase 4(DHRS4)
Q9BTZ2	ENSG00000157326	Homo sapiens	dehydrogenase/reductase 4(DHRS4)
Q9NX61	ENSG00000064545	Homo sapiens	transmembrane protein 161A(TMEM161A)
Q9NX62	ENSG00000104331	Homo sapiens	3'(2'), 5'-bisphosphate nucleotidase 2(BPNT2)
Q9NWU2	ENSG00000101193	Homo sapiens	GID complex subunit 8 homolog(GID8)
Q9Y5Q8	ENSG00000148308	Homo sapiens	general transcription factor IIIC subunit 5(GTF3C5)
Q9NX63	ENSG00000106554	Homo sapiens	coiled-coil-helix-coiled-coil-helix domain containing 3(CHCHD3)
Q9NWU5	ENSG00000082515	Homo sapiens	mitochondrial ribosomal protein L22(MRPL22)
P61981	ENSG00000170027	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma(YWHAG)
Q3KRA6	ENSG00000186132	Homo sapiens	chromosome 2 open reading frame 76(C2orf76)
Q9H4H8	ENSG00000101447	Homo sapiens	family with sequence similarity 83 member D(FAM83D)
Q96A73	ENSG00000122203	Homo sapiens	KIAA1191(KIAA1191)
Q2TAA2	ENSG00000134330	Homo sapiens	isoamyl acetate hydrolyzing esterase 1 (putative)(IAH1)
Q5VW38	ENSG00000148358	Homo sapiens	G protein-coupled receptor 107(GPR107)
Q9BTY7	ENSG00000235173	Homo sapiens	HGH1 homolog(HGH1)
Q5VW36	ENSG00000188352	Homo sapiens	focadhesin(FOCAD)
P30837	ENSG00000137124	Homo sapiens	aldehyde dehydrogenase 1 family member B1(ALDH1B1)
Q96A65	ENSG00000131558	Homo sapiens	exocyst complex component 4(EXOC4)
Q9BTY2	ENSG00000001036	Homo sapiens	alpha-L-fucosidase 2(FUCA2)
Q9NX70	ENSG00000063322	Homo sapiens	mediator complex subunit 29(MED29)
Q9UKI8	ENSG00000198586	Homo sapiens	tousled like kinase 1(TLK1)
Q9Y639	ENSG00000156642	Homo sapiens	neuroplastin(NPTN)
Q5VW32	ENSG00000162819	Homo sapiens	BRO1 domain and CAAX motif containing(BROX)
Q9NWV4	ENSG00000162384	Homo sapiens	CXXC motif containing zinc binding protein(CZIB)
Q9Y5R8	ENSG00000170043	Homo sapiens	trafficking protein particle complex subunit 1(TRAPPC1)
Q9NX76	ENSG00000091317	Homo sapiens	CKLF like MARVEL transmembrane domain containing 6(CMTM6)
A4D1E9	ENSG00000105793	Homo sapiens	GTP binding protein 10(GTPBP10)
Q9NWV8	ENSG00000269307	Homo sapiens	BRISC and BRCA1 A complex member 1(BABAM1)
Q9NWV8	ENSG00000105393	Homo sapiens	BRISC and BRCA1 A complex member 1(BABAM1)
P60660	ENSG00000092841	Homo sapiens	myosin light chain 6(MYL6)
Q9H4G4	ENSG00000122694	Homo sapiens	GLI pathogenesis related 2(GLIPR2)
Q96A57	ENSG00000089063	Homo sapiens	transmembrane protein 230(TMEM230)
Q9UKJ3	ENSG00000186566	Homo sapiens	G-patch domain containing 8(GPATCH8)
Q9Y5S2	ENSG00000198752	Homo sapiens	CDC42 binding protein kinase beta(CDC42BPB)
Q96A54	ENSG00000159346	Homo sapiens	adiponectin receptor 1(ADIPOR1)
P30825	ENSG00000139514	Homo sapiens	solute carrier family 7 member 1(SLC7A1)
Q9BTX1	ENSG00000058804	Homo sapiens	NDC1 transmembrane nucleoporin(NDC1)
Q9NWW5	ENSG00000128973	Homo sapiens	CLN6 transmembrane ER protein(CLN6)
Q9Y5S9	ENSG00000265241	Homo sapiens	RNA binding motif protein 8A(RBM8A)
P17844	ENSG00000108654	Homo sapiens	DEAD-box helicase 5(DDX5)
Q96QU8	ENSG00000169180	Homo sapiens	exportin 6(XPO6)
E9PRG8	ENSG00000278615	Homo sapiens	chromosome 11 open reading frame 98(C11orf98)
Q9Y5T5	ENSG00000156256	Homo sapiens	ubiquitin specific peptidase 16(USP16)
Q7Z4H3	ENSG00000111906	Homo sapiens	HD domain containing 2(HDDC2)
Q9Y657	ENSG00000106723	Homo sapiens	spindlin 1(SPIN1)
Q96A47	ENSG00000159556	Homo sapiens	ISL LIM homeobox 2(ISL2)
Q9Y651	ENSG00000125285	Homo sapiens	SRY-box transcription factor 21(SOX21)
Q7Z4H7	ENSG00000147874	Homo sapiens	HAUS augmin like complex subunit 6(HAUS6)
Q9BU89	ENSG00000129932	Homo sapiens	deoxyhypusine hydroxylase(DOHH)
Q9BTW9	ENSG00000278759	Homo sapiens	tubulin folding cofactor D(TBCD)
Q9BTW9	ENSG00000141556	Homo sapiens	tubulin folding cofactor D(TBCD)
Q9UKK6	ENSG00000132661	Homo sapiens	nuclear transport factor 2 like export factor 1(NXT1)
Q3KRA9	ENSG00000239382	Homo sapiens	alkB homolog 6(ALKBH6)
Q96A49	ENSG00000169895	Homo sapiens	synapse associated protein 1(SYAP1)
Q9NWX5	ENSG00000148331	Homo sapiens	ankyrin repeat and SOCS box containing 6(ASB6)
Q9NWX6	ENSG00000113272	Homo sapiens	tRNA-histidine guanylyltransferase 1 like(THG1L)
Q9UKK9	ENSG00000165609	Homo sapiens	nudix hydrolase 5(NUDT5)
P17858	ENSG00000141959	Homo sapiens	phosphofructokinase, liver type(PFKL)
Q8WWZ3	ENSG00000186197	Homo sapiens	EDAR associated via death domain(EDARADD)
Q7Z4H8	ENSG00000178202	Homo sapiens	protein O-glucosyltransferase 3(POGLUT3)
Q9BV10	ENSG00000182858	Homo sapiens	ALG12 alpha-1,6-mannosyltransferase(ALG12)
Q9BUP0	ENSG00000115468	Homo sapiens	EF-hand domain family member D1(EFHD1)
P35659	ENSG00000124795	Homo sapiens	DEK proto-oncogene(DEK)
Q9BUP3	ENSG00000109854	Homo sapiens	HIV-1 Tat interactive protein 2(HTATIP2)
Q6NZI2	ENSG00000177469	Homo sapiens	caveolae associated protein 1(CAVIN1)
P35658	ENSG00000126883	Homo sapiens	nucleoporin 214(NUP214)
Q9ULF5	ENSG00000196950	Homo sapiens	solute carrier family 39 member 10(SLC39A10)
Q9NXS2	ENSG00000011478	Homo sapiens	glutaminyl-peptide cyclotransferase like(QPCTL)
P08047	ENSG00000185591	Homo sapiens	Sp1 transcription factor(SP1)
Q5VWG9	ENSG00000165632	Homo sapiens	TATA-box binding protein associated factor 3(TAF3)
A0JLT2	ENSG00000156603	Homo sapiens	mediator complex subunit 19(MED19)
P48960	ENSG00000123146	Homo sapiens	adhesion G protein-coupled receptor E5(ADGRE5)
A6ND36	ENSG00000188522	Homo sapiens	family with sequence similarity 83 member G(FAM83G)
Q5UCC4	ENSG00000161671	Homo sapiens	ER membrane protein complex subunit 10(EMC10)
Q86Y56	ENSG00000164818	Homo sapiens	dynein axonemal assembly factor 5(DNAAF5)
Q9ULG6	ENSG00000260916	Homo sapiens	cell cycle progression 1(CCPG1)
P09382	ENSG00000100097	Homo sapiens	galectin 1(LGALS1)
Q96AJ9	ENSG00000151532	Homo sapiens	vesicle transport through interaction with t-SNAREs 1A(VTI1A)
Q96RL7	ENSG00000197969	Homo sapiens	vacuolar protein sorting 13 homolog A(VPS13A)
Q8WY36	ENSG00000114439	Homo sapiens	BBX high mobility group box domain containing(BBX)
Q96RL1	ENSG00000087206	Homo sapiens	ubiquitin interaction motif containing 1(UIMC1)
P61956	ENSG00000188612	Homo sapiens	small ubiquitin like modifier 2(SUMO2)
Q9BUN8	ENSG00000136986	Homo sapiens	derlin 1(DERL1)
P36969	ENSG00000167468	Homo sapiens	glutathione peroxidase 4(GPX4)
