id,name,Abbreviation,EC Number,SUBSYSTEM,Description,Equation,Lower Bound,Upper Bound,μmol/min/gDW,Recon2,Recon2 Formula,KEGG,Gene symbol,Ensembl,HGNC,Gene Name,RNAseq Expression (FPKM),Immunohistochemisty,In list?,Score
R_TPI,triose-phosphate isomerase,TPI,5.3.1.1,Glycolysis/gluconeogenesis,D-Glyceraldehyde 3-phosphate --> Glycerone phosphate,M_dhap_c --> M_g3p_c,-1000.0,1000.0,0.91,TPI,dhap[c] --> g3p[c],R01015,TPI1,ENSG00000111669,HGNC:12009,triose-phosphate isomerase,High,Low,True,5.5357
R_GAPD,glyceraldehyde-3-phosphate dehydrogenase,GAPD,1.2.1.12,Glycolysis/gluconeogenesis,D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ --> 3-Phospho-D-glyceroyl phosphate + NADH + H+,M_pi_c + M_nad_c + M_g3p_c --> M_h_c + M_nadh_c + M_13dpg_c,-1000.0,1000.0,1.81,GAPD,pi[c] + nad[c] + g3p[c] --> h[c] + nadh[c] + 13dpg[c],R01061,GAPDH,ENSG00000111640,HGNC:4141,glyceraldehyde-3-phosphate dehydrogenase,High,Medium,True,5.4139
R_PGK,phosphoglycerate kinase,PGK,2.7.2.3,Glycolysis/gluconeogenesis,ATP + 3-Phospho-D-glycerate --> ADP + 3-Phospho-D-glyceroyl phosphate,M_atp_c + M_3pg_c --> M_adp_c + M_13dpg_c,-1000.0,1000.0,-1.81,PGK,atp[c] + 3pg[c] --> adp[c] + 13dpg[c],R01512,PGK1,ENSG00000102144,HGNC:8896,Phosphoglycerate kinase 1,High,Low,False,-0.9741
R_PGM,Phosphoglycerate mutase 1,PGM,5.4.2.1,Glycolysis/gluconeogenesis,2-Phospho-D-glycerate --> 3-Phospho-D-glycerate,M_2pg_c --> M_3pg_c,-1000.0,1000.0,-1.81,DPGM,2pg[c] --> 3pg[c],R01518,PGAM1 or PGAM2,ENSG00000171314 or ENSG00000164708,HGNC:8888 or HGNC:8889,Phosphoglycerate mutase 1,High or High,ND or High,False,-0.9066
R_ENO,enolase,ENO,4.2.1.11,Glycolysis/gluconeogenesis,2-Phospho-D-glycerate --> Phosphoenolpyruvate + H2O,M_2pg_c --> M_h2o_c + M_pep_c,-1000.0,1000.0,1.81,ENO,2pg[c] --> h2o[c] + pep[c],R00658,ENO1 or ENO2 or ENO3,ENSG00000074800 or ENSG00000111674 or ENSG00000108515,HGNC:3350 or HGNC:3353 or HGNC:3354,enolase,"High, Medium, High","Low, ND, Low",False,"-8.824, -5.5041, -4.8191"
R_PYK,pyruvate kinase,PYK,2.7.1.40,Glycolysis/gluconeogenesis,ADP + Phosphoenolpyruvate --> ATP + Pyruvate,M_pep_c + M_adp_c + M_h_c --> M_atp_c + M_pyr_c,0.0,1000.0,1.906,PYK,h[c] + adp[c] + pep[c] -> atp[c] + pyr[c],R00200,PKM,ENSG00000067225,HGNC:9021,pyruvate kinase,High,Not detected,False,4.2524
R_r0122,GTP:pyruvate O2-phosphotransferase,r0122,2.7.1.40,Glycolysis, GDP + Phosphoenolpyruvate --> GTP + Pyruvate,M_h_c + M_pep_c + M_gdp_c --> M_pyr_c + M_gtp_c,0.0,1000.0,0.0,r0122,h[c] + pep[c] + gdp[c] -> pyr[c] + gtp[c],R00430,PKM,ENSG00000067225,HGNC:9021,pyruvate kinase,High,Not detected,False,4.2524
R_PEPCK,Phosphoenolpyruvate carboxykinase (GTP),PEPCK,4.1.1.32,Gluconeogenesis,GTP + oxaloacetate --> GDP + phosphoenolpyruvate + CO2,M_oaa_c + M_gtp_c --> M_co2_c + M_pep_c + M_gdp_c,0.0,1000.0,0.0,PEPCK,oaa[c] + gtp[c] -> co2[c] + pep[c] + gdp[c],R00431,PCK1,ENSG00000124253,HGNC:8724,phosphoenolpyruvate carboxykinase,Not detected,Low,False,-1.849
R_LDH_L,L-lactate dehydrogenase,LDH_L,1.1.1.27,Glycolysis/gluconeogenesis,(S)-Lactate + NAD+ --> Pyruvate + NADH + H+,M_nad_c + M_lac_L_c --> M_pyr_c + M_nadh_c + M_h_c,-1000.0,1000.0,0.575,LDH_L,nad[c] + lac_L[c] --> h[c] + nadh[c] + pyr[c],R00703,LDHB,ENSG00000111716,HGNC:6541,L-lactate dehydrogenase,High,Medium,True,5.2343
R_G6PDH2r,glucose 6-phosphate dehydrogenase,G6PDH2r,1.1.1.49,Pentose phosphate pathway,"beta-D-Glucose 6-phosphate + NADP+ --> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+",M_nadp_c + M_g6p_c --> M_h_c + M_nadph_c + M_6pgl_c,0.0,1000.0,0.0,G6PDH2r,nadp[c] + g6p[c] --> h[c] + nadph[c] + 6pgl[c],R02736,G6PD,ENSG00000160211,HGNC:4057,glucose 6-phosphate dehydrogenase,Low,Not detected,False,-5.2802
R_PGL,6-phosphogluconolactonase,PGL,3.1.1.31,Pentose phosphate pathway,"D-Glucono-1,5-lactone 6-phosphate + H2O --> 6-Phospho-D-gluconate",M_h2o_c + M_6pgl_c --> M_h_c + M_6pgc_c,0.0,1000.0,0.0,PGL,h2o[c] + 6pgl[c] -> h[c] + 6pgc[c],R02035,PGLS,ENSG00000130313,HGNC:8903,6-phosphogluconolactonase,Low,Medium,False,-1.2362
R_GND,phosphogluconate dehydrogenase,GND,1.1.1.44,Pentose phosphate pathway,6-Phospho-D-gluconate + NADP+ --> D-Ribulose 5-phosphate + CO2 + NADPH + H+,M_nadp_c + M_6pgc_c --> M_nadph_c + M_co2_c + M_ru5p_D_c,-1000.0,1000.0,0.0,GND,nadp[c] + 6pgc[c] -> nadph[c] + co2[c] + ru5p_D[c],R01528,PGD,ENSG00000142657,HGNC:8891,phosphogluconate dehydrogenase,Medium,Not detected,False,-3.4637
R_RPI,ribose-5-phosphate isomerase,RPI,5.3.1.6,Pentose phosphate pathway,D-Ribose 5-phosphate --> D-Ribulose 5-phosphate,M_r5p_c --> M_ru5p_D_c,-1000.0,1000.0,0.0,RPI,r5p[c] --> ru5p_D[c],R01056,RPIA,ENSG00000153574,HGNC:10297,ribose-5-phosphate isomerase,Low,Low,True,-5.8466
R_RPE,ribulose 5-phosphate 3-epimerase,RPE,5.1.3.1,Pentose phosphate pathway,D-Ribulose 5-phosphate --> D-Xylulose 5-phosphate,M_ru5p_D_c --> M_xu5p_D_c,-1000.0,1000.0,0.0,RPE,ru5p_D[c] --> xu5p_D[c],R01529,RPEL1,ENSG00000235376,HGNC:45241,ribulose 5-phosphate 3-epimerase,Not detected,Not detected,False,-13.4554
R_TKT1,transketolase,TKT1,2.2.1.1,Pentose phosphate pathway,D-Ribose 5-phosphate + D-Xylulose 5-phosphate --> Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate,M_r5p_c + M_xu5p_D_c --> M_g3p_c + M_s7p_c,-1000.0,1000.0,0.0,TKT1,r5p[c] + xu5p_D[c] --> g3p[c] + s7p[c],R01641,TKT,ENSG00000163931,HGNC:11834,transketolase,Low,Low,True,9.1077
R_TALA,transaldolase,TALA,2.2.1.2,Pentose phosphate pathway,Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate --> D-Erythrose 4-phosphate + beta-D-Fructose 6-phosphate,M_g3p_c + M_s7p_c --> M_f6p_c + M_e4p_c,-1000.0,1000.0,0.0,TALA,g3p[c] + s7p[c] --> f6p[c] + e4p[c],R01827,TALDO1,ENSG00000177156,HGNC:11559,transaldolase,Medium,High,False,-5.3955
R_TKT2,transketolase,TKT2,2.2.1.1,Pentose phosphate pathway,D-Erythrose 4-phosphate + D-Xylulose 5-phosphate --> beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate,M_xu5p_D_c + M_e4p_c --> M_g3p_c + M_f6p_c,-1000.0,1000.0,0.0,TKT2,xu5p_D[c] + e4p[c] --> g3p[c] + f6p[c],R01830,TKT,ENSG00000163931,HGNC:11834,transketolase,Low,Low,True,9.1077
R_PDHm,pyruvate dehydrogenase,PDHm,"1.2.4.1, 2.3.1.12, 1.8.1.4",TCA cycle,Pyruvate + CoA + NAD+ --> Acetyl-CoA + CO2 + NADH + H+,M_nad_m + M_pyr_m + M_coa_m --> M_nadh_m + M_co2_m + M_accoa_m,0.0,1000.0,2.608,PDHm,nad[m] + pyr[m] + coa[m] -> nadh[m] + co2[m] + accoa[m],R00209 (R01699 + R02569 + R07618),PDHA1 and PDHB and DLAT and DLD,ENSG00000131828 and ENSG00000168291 and ENSG00000150768 and ENSG00000091140,HGNC:8806 and HGNC:8808 and HGNC:2896 and HGNC:2898,pyruvate dehydrogenase,High and High and Medium and High ,Medium and High and High and High,"TRUE, TRUE, TRUE, TRUE","42.5705, 40.5677, 37.7551, 31.2307"
R_CSm,citrate synthase,CSm,2.3.3.1,TCA cycle,Acetyl-CoA + H2O + Oxaloacetate --> Citrate + CoA,M_h2o_m + M_accoa_m + M_oaa_m --> M_h_m + M_coa_m + M_cit_m,0.0,1000.0,6.8014,CSm,h2o[m] + accoa[m] + oaa[m] -> h[m] + coa[m] + cit[m],R00351,CS,ENSG00000062485,HGNC:2422,citrate synthase,High,High,True,37.826
R_ACONTm,Aconitate hydratase,ACONTm,4.2.1.3,TCA cycle,Citrate -> Isocitrate,M_cit_m --> M_icit_m,-1000.0,1000.0,6.8974,ACONTm,cit[m] --> icit[m],R01324 (R01325 + R01900),ACO2,ENSG00000100412,HGNC:118,Aconitate hydratase,High,High,True,30.2787
R_ICDHxm,Isocitrate dehydrogenase (NAD+),ICDHxm,1.1.1.41,TCA cycle,Isocitrate + NAD(+) = 2-oxoglutarate + CO(2) + NADH,M_nad_m + M_icit_m --> M_nadh_m + M_akg_m + M_co2_m,0.0,1000.0,6.8807,ICDHxm,nad[m] + icit[m] -> nadh[m] + akg[m] + co2[m],R00709,IDH3A and IDH3B and IDH3G,ENSG00000166411 and ENSG00000101365 and ENSG00000067829,HGNC:5384 and HGNC:5385 and HGNC:5386,Isocitrate dehydrogenase (NAD+),Medium and High and Medium,Low and Medium and Medium,"TRUE, TRUE, TRUE","34.6301, 32.7553, 28.8516"
R_ICDHyrm,Isocitrate dehydrogenase (NADP+),ICDHyrm,1.1.1.42,TCA cycle,Isocitrate + NADP(+) -> 2-oxoglutarate + CO(2) + NADPH,M_nadp_m + M_icit_m --> M_nadph_m + M_akg_m + M_co2_m,-1000.0,1000.0,0.0167,ICDHyrm,nadp[m] + icit[m] --> nadph[m] + akg[m] + co2[m],R00267 (R00268 + R01899),IDH2,ENSG00000182054,HGNC:5383,"Isocitrate dehydrogenase (NADP+), mitochondrial",Medium or High,Not detected or High,"TRUE, TRUE","9.2614, 21.7892"
R_AKGDm,2-oxoglutarate dehydrogenase,AKGDm,"1.2.4.2, 1.8.1.4, 2.3.1.61",TCA cycle,2-Oxoglutarate + CoA + NAD+ --> Succinyl-CoA + CO2 + NADH + H+,M_nad_m + M_akg_m + M_coa_m --> M_nadh_m + M_co2_m + M_succoa_m,0.0,1000.0,6.8224,AKGDm,nad[m] + akg[m] + coa[m] -> nadh[m] + co2[m] + succoa[m],R08549 (R00621+R02570+R03316+R07618),OGDH and DLST and DLD ,ENSG00000105953 and ENSG00000119689 and ENSG00000091140,HGNC:8124 and HGNC:2911 and HGNC:2898,2-oxoglutarate dehydrogenase complex,High and High and High,High and Medium and High,"TRUE, TRUE, TRUE","40.5677, 37.6758, 31.2307"
R_SUCOAS1m,Succinate--CoA ligase (GDP-forming),SUCOAS1m,6.2.1.4,TCA cycle,GTP + Succinate + CoA --> GDP + Orthophosphate + Succinyl-CoA,M_coa_m + M_gtp_m + M_succ_m --> M_pi_m + M_gdp_m + M_succoa_m,-1000.0,1000.0,-0.096,SUCOAS1m,coa[m] + gtp[m] + succ[m] --> pi[m] + gdp[m] + succoa[m],R00432,SUCLG1 and SUCLG2,ENSG00000163541 and ENSG00000172340,HGNC:11449 and HGNC:11450,Succinate--CoA ligase (GDP-forming),High and Medium,Medium and High,"TRUE, TRUE","32.1445, 26.2777"
R_SUCOASm,Succinate--CoA ligase (ADP-forming),SUCOASm,6.2.1.5,TCA cycle,ATP + Succinate + CoA --> ADP + Orthophosphate + Succinyl-CoA,M_atp_m + M_coa_m + M_succ_m --> M_adp_m + M_pi_m + M_succoa_m,-1000.0,1000.0,-6.5754,SUCOASm,atp[m] + coa[m] + succ[m] --> adp[m] + pi[m] + succoa[m],R00405,SUCLA2,ENSG00000136143,HGNC:11448,Succinate--CoA ligase (ADP-forming),High,Medium,True,34.9705
R_FUMm,fumarate hydratase,FUMm,4.2.1.2,TCA cycle,Fumarate + H2O --> (S)-Malate,M_h2o_m + M_fum_m --> M_mal_L_m,-1000.0,1000.0,6.8494,FUMm,h2o[m] + fum[m] --> mal_L[m],R01082,FH,ENSG00000091483,HGNC:3700,fumarate hydratase,High,Medium,True,35.7616
R_MDHm,"malate dehydrogenase 2, NAD (mitochondrial)",MDHm,1.1.1.37,TCA cycle,(S)-Malate + NAD+ --> Oxaloacetate + NADH + H+,M_nad_m + M_mal_L_m --> M_h_m + M_nadh_m + M_oaa_m,-1000.0,1000.0,9.1284,MDHm,nad[m] + mal_L[m] --> h[m] + nadh[m] + oaa[m],R00342,MDH2,ENSG00000146701,HGNC:6971,"malate dehydrogenase 2, NAD (mitochondrial)",High,High,True,38.3734
R_CI_MitoCore,NADH dehydrogenase,CI_MitoCore,"1.6.5.3, 1.6.5.8, 1.6.5.9",Electron transport chain CI,NADH dehydrogenase,1 M_h_m + 3.996 M_PMF_m + M_nadh_m + 0.999 M_q10_m + 0.002 M_o2_m --> 3.996 M_PMF_c + M_nad_m + 0.999 M_q10h2_m + 0.002 M_o2s_m,-1000.0,1000.0,29.3685,NADH2_u10m,5.0 h[m] + nadh[m] + q10[m] -> 4.0 h[c] + nad[m] + q10h2[m],R02163 (R00281 + R02166),NDUFS7 and NDUFS8 and NDUFV2 and NDUFS3 and NDUFS2 and NDUFV1 and NDUFS1 and MT-ND1 and MT-ND2 and MT-ND3 and MT-ND4 and MT-ND4L and MT-ND5and MT-ND6 and NDUFS6 and NDUFA12 and NDUFS4 and NDUFA9 and NDUFAB1 and NDUFA2 and NDUFB3 and NDUFA5 and NDUFA6 and NDUFA11 and NDUFB11 and NDUFS5 and NDUFB4 and NDUFA13 and NDUFB7 and NDUFA8 and NDUFB9 and NDUFB10 and NDUFB8 and NDUFC2 and NDUFB2 and NDUFA7 and NDUFA3 and NDUFA4 and NDUFB5 and NDUFB1 and NDUFC1 and NDUFA10 and NDUFA4L2 and NDUFV3 and NDUFB6,ENSG00000115286 and ENSG00000110717 and ENSG00000178127 and ENSG00000213619 and ENSG00000158864 and ENSG00000167792 and ENSG00000023228 and ENSG00000198888 and ENSG00000198763 and ENSG00000198840 and ENSG00000198886 and ENSG00000212907 and ENSG00000198786 and ENSG00000198695 and ENSG00000145494 and ENSG00000184752 and ENSG00000164258 and ENSG00000139180 and ENSG00000004779 and ENSG00000131495 and ENSG00000119013 and ENSG00000128609 and ENSG00000184983 and ENSG00000174886 and ENSG00000147123 and ENSG00000168653 and ENSG00000065518 and ENSG00000186010 and ENSG00000099795 and ENSG00000119421 and ENSG00000147684 and ENSG00000140990 and ENSG00000166136 and ENSG00000151366 and ENSG00000090266 and ENSG00000267855 and ENSG00000170906 and ENSG00000189043 and ENSG00000136521 and ENSG00000183648 and ENSG00000109390 and ENSG00000130414 and ENSG00000185633 and ENSG00000160194 and ENSG00000165264,HGNC:7714 and HGNC:7715 and HGNC:7717 and HGNC:7710 and HGNC:7708 and HGNC:7716 and HGNC:7707 and HGNC:7455 and HGNC:7456 and HGNC:7458 and HGNC:7459 and HGNC:7460 and HGNC:7461 and HGNC:7462 and HGNC:7713 and HGNC:23987 and HGNC:7711 and HGNC:7693 and HGNC:7694 and HGNC:7685 and HGNC:7698 and HGNC:7688 and HGNC:7690 and HGNC:20371 and HGNC:20372 and HGNC:7712 and HGNC:7699 and HGNC:17194 and HGNC:7702 and HGNC:7692 and HGNC:7704 and HGNC:7696 and HGNC:7703 and HGNC:7706 and HGNC:7697 and HGNC:7691 and HGNC:7686 and HGNC:7687 and HGNC:7700 and HGNC:7695 and HGNC:7705 and HGNC:7684 and HGNC:29836 and HGNC:7719 and HGNC:7701,NADH dehydrogenase,Medium and High and Medium and High and High and High and High and High and High and High and High and High and High and High and Medium and High and High and Medium and High and High and High and High and High and High and Medium and High and High and High and High and High and High and High and High and High and High and High and High and High and High and High and Medium and High and Medium and Medium and High,ND and High and High and High and High and High and ND and High and ND and High and Medium and ND and ND and ND and High and High and High and High and Medium and High and High and High and Not detected and ND and High and High and High and High and High and High and High and ND and High and Medium and Medium and High and High and ND and High and High and High and ND and ND and High and High,"TRUE except NDUFA4L2, NDUFA7 not in MitoCarta at all","33.0033, 30.6672, 32.0934, 18.2867, 30.334, 30.334, 36.8031, 3.5915, 12.0861, 8.7965, 12.0861, 1.4501, 12.0861, -6.2297, 26.466, 21.467, 27.8713, 27.4053, 18.5522, 25.0692, 16.6293, 26.2914, 28.3203, 15.7163, 20.8256, 25.0273, 10.644, 16.014, 17.9816, 21.0863, 28.397, 25.3606, 31.6796, 21.219, 22.2978, N/A, 17.0508, 16.014, 28.7877, -3.784, 17.1335, 21.261, 1.2151, 20.4205, 26.2914"
R_CII_MitoCore,succinate dehydrogenase,CII_MitoCore,1.3.5.1,Electron transport chain CII,succinate dehydrogenase,M_q10_m + M_succ_m --> M_q10h2_m + M_fum_m,-1000.0,1000.0,6.8494,SUCD1m and FADH2ETC,fad[m] + succ[m] --> fadh2[m] + fum[m],R02164,SDHA and SDHB and SDHC,ENSG00000073578 and ENSG00000117118 and ENSG00000143252,HGNC:10680 and HGNC:10681 and HGNC:10682,succinate dehydrogenase,High and High and Medium,High and High and ND,"TRUE, TRUE, TRUE","42.9701, 43.2272, 28.8474"
R_CIII_MitoCore,cytochrome c reductase,CIII_MitoCore,1.10.2.2,Electron transport chain CIII,cytochrome c reductase, 2.0 M_PMF_m + 2.0 M_ficytC_m + M_q10h2_m --> 4.0 M_PMF_c + M_q10_m + 2.0 M_focytC_m,-1000.0,1000.0,39.5413,CYOR_u10m,2.0 h[m] + 2.0 ficytC[m] + q10h2[m] -> 4.0 h[c] + q10[m] + 2.0 focytC[m],R02161,MT-CYB and CYC1 and CYCS and UQCRFS1 and UQCRB and UQCRH and UQCRC2 and UQCRC1 and UQCR11 and UQCR10 and TTC19,ENSG00000198727 and ENSG00000179091 and ENSG00000172115 and ENSG00000169021 and ENSG00000156467 and ENSG00000173660 and ENSG00000140740 and ENSG00000010256 and ENSG00000127540 and ENSG00000184076 and ENSG00000011295,HGNC:7427 and HGNC:2579 and HGNC:19986 and HGNC:12587 and HGNC:12582 and HGNC:12590 and HGNC:12586 and HGNC:12585 and HGNC:30862 and HGNC:30863 and HGNC:26006,cytochrome c reductase,High and High and High and Medium and High and High and High and Medium and High and High and Low,Medium and High and Medium and High and High and High and High and High and ND and ND and Medium,True,"10.4861, 43.6442, 24.9447, 40.7667, 19.6799, 34.0633, 40.5677, 42.9037, 10.644, 13.0076"
R_CIV_MitoCore,cytochrome c oxidase,CIV_MitoCore,1.9.3.1,Electron transport chain CIV,cytochrome c oxidase,M_o2_m + 4.0 M_focytC_m + 8.0 M_PMF_m --> 2.0 M_h2o_m + 4.0 M_PMF_c + 4.0 M_ficytC_m,0.0,1000.0,19.7706,CYOOm2,o2[m] + 4.0 focytC[m] -> 2.0 h2o[m] + 4.0 h[m] + 4.0 ficytC[m],R00081,MT-CO1 and MT-CO2 and MT-CO3 and COX4I1 and COX4I2 and COX5A and COX5B and COX6A1 and COX6A2 and COX6B1 and COX6B2 and COX6C and COX7A1 and COX7A2 and COX7A2L and COX7B and COX7C and COX7A2L and COX8A and COX8C,ENSG00000198804 and ENSG00000198712 and ENSG00000198938 and ENSG00000131143 and ENSG00000131055 and ENSG00000178741 and ENSG00000135940 and ENSG00000111775 and ENSG00000156885 and ENSG00000126267 and ENSG00000160471 and ENSG00000164919 and ENSG00000161281 and ENSG00000112695 and ENSG00000115944 and ENSG00000131174 and ENSG00000127184 and ENSG00000115944 and ENSG00000176340 and ENSG00000187581,HGNC:7419 and HGNC:7421 and HGNC:7422 and HGNC:2265 and HGNC:16232 and HGNC:2267 and HGNC:2269 and HGNC:2277 and HGNC:2279 and HGNC:2280 and HGNC:24380 and HGNC:2285 and HGNC:2287 and HGNC:2288 and HGNC:2289 and HGNC:2291 and HGNC:2292 and HGNC:2289 and HGNC:2294 and HGNC:24382,cytochrome c oxidase,High and High and High and High and Medium and High and High and Medium and High and High and Not detected and High and High and High and High and High and High and High and High and Not detected,High and High and Medium and High and ND and High and High and Medium and ND and High and ND and High and ND and ND and ND and High and High and ND and Medium and Not detected,True,"12.6275, 21.1221, 9.5597, 26.466, 13.7961, 41.9796, 26.3322, 33.6921, 18.761, 28.175, 14.0781, 28.397, 21.5213, 24.0965, 7.1222, 15.8766, 22.1144, 7.1222, 17.7556, 13.1755"
R_CV_MitoCore,ATP synthase,CV_MitoCore,"3.6.3.14, 3.6.3.10, 3.6.3.6",Electron transport chain CV,ATP synthase,1 M_h_m + 2.7 M_PMF_c + M_adp_m + M_pi_m --> M_h2o_m + 2.7 M_PMF_m + M_atp_m ,-1000.0,1000.0,93.3933,ATPS4m,4.0 h[c] + adp[m] + pi[m] -> h2o[m] + 3.0 h[m] + atp[m],R00086,ATP5A1 and ATP5B and ATP5C1 and ATP5D and ATP5E and ATP5F1 and (ATP5G1 or ATP5G2 or ATP5G3) and ATP5H and ATP5I and ATP5J and ATP5J2 and ATP5L and ATP5L2 and ATP5O and MT-ATP6 and MT-ATP8,ENSG00000152234 and ENSG00000110955 and ENSG00000165629 and ENSG00000099624 and ENSG00000124172 and ENSG00000116459 and (ENSG00000159199 or ENSG00000135390 or ENSG00000154518) and ENSG00000167863 and ENSG00000169020 and ENSG00000154723 and ENSG00000241468 and ENSG00000167283 and ENSG00000249222 and ENSG00000241837 and ENSG00000198899 and ENSG00000228253,HGNC:823 and HGNC:830 and HGNC:833 and HGNC:837 and HGNC:838 and HGNC:840 and (HGNC:841 or HGNC:842 or HGNC:843) and HGNC:845 and HGNC:846 and HGNC:847 and HGNC:848 and HGNC:14247 and HGNC:13213 and HGNC:850 and HGNC:7414 and HGNC:7415,ATP synthase,High and High and High and High and Medium and Medium and (High or High or High) and High and High and High and High and High and Not detected and High and High and High,High and High and Medium and High and Low and Medium and (ND or Medium or ND) and High and High and High and ND and High and ND and High and ND and Not detected,"TRUE, ATP5L2 - False","40.7095, 35.6372, 27.2465, 42.0165, 36.4978, 22.1144, 6.1649, 3.7304, 19.5524, 19.6799, 32.2839, 31.6796, 13.2425, 19.6799, -3.784, 34.0, 21.1221, 9.7131"
