,mitocore,293,mitoparp,293 + high NAD,mitoparp + high NAD,293 + low NAD,mitoparp + low NAD,subsystem
r0942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels
r0942b_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels
ETOHt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels
BUTt2r,0.006,0.006,0.006,0.006,0.006,0.006,0.006,Boundary conditions - alternative fuels
GLYCt,1.109749999999999,1.10575,0.0,1.1057500000000005,0.0,0.5830869694971434,0.0,Boundary conditions - alternative fuels
ACACt2,0.114,0.114,0.114,0.114,0.114,0.114,0.114,Boundary conditions - core
HDCAtr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boundary conditions - core
BHBt,0.048,0.048,0.048,0.048,0.048,0.0168,0.0168,Boundary conditions - core
Biomass_MitoCore,-80.71384309772483,-80.69939875363183,-80.7057478589096,-80.69939875363181,-80.7057478589096,-57.25102746637582,-53.19365507089719,Boundary conditions - core
HDCAtm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - core
HCO3t_MitoCore,1.71,1.71,1.71,1.71,1.71,1.71,1.71,Boundary conditions - core
O2t,19.8,19.8,19.8,19.8,19.8,15.020283071623322,13.60468879917278,Boundary conditions - core
L_LACt2r,0.575,0.575,0.575,0.575,0.575,0.3718197879858657,0.3718197879858657,Boundary conditions - core
CO2t,-9.704470479288606,-9.712232200889035,-9.703311725431822,-9.712232200889035,-9.70331172543183,-7.9132820023240065,-6.932188932074012,Boundary conditions - core
GLCt1r,0.9,0.9,0.9,0.9,0.9,0.9,0.8573684210526314,Boundary conditions - core
HIStiDF,0.01,0.01,0.01,0.01,0.01,0.01,0.01,Boundary conditions - essential amino acids
TRPt,0.008,0.0001860465116279,0.0001860465116279,0.0001860465116279,0.0001860465116279,0.0001860465116279,0.0001860465116279,Boundary conditions - essential amino acids
VALtec,0.011,0.011,0.011,0.011,0.011,0.0073464175292386,0.0073464175292378,Boundary conditions - essential amino acids
ILEtec,0.004,0.004,0.004,0.004,0.004,0.004,0.004,Boundary conditions - essential amino acids
LEUtec,0.016,0.016,0.016,0.016,0.016,0.016,0.016,Boundary conditions - essential amino acids
LYStiDF,0.03,0.03,0.03,0.03,0.03,0.0168828433523475,0.0168828433523475,Boundary conditions - essential amino acids
r2534,0.012,0.012,0.012,0.012,0.012,0.012,0.012,Boundary conditions - essential amino acids
METtec,0.005,0.005,0.005,0.005,0.005,0.005,0.005,Boundary conditions - essential amino acids
PHEtec,0.012,0.012,0.012,0.012,0.012,0.012,0.012,Boundary conditions - essential amino acids
ARGtiDF,0.007,0.007,0.007,0.007,0.007,0.007,0.007,Boundary conditions - nonessential amino acids
GLYt2r,0.009,0.009,0.009,0.009,0.009,0.009,0.009,Boundary conditions - nonessential amino acids
r2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - nonessential amino acids
GLUt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - nonessential amino acids
ALAt2r,0.01,0.01,0.01,0.01,0.01,0.01,0.01,Boundary conditions - nonessential amino acids
TYRt,0.011,0.011,0.011,0.011,0.011,0.011,0.011,Boundary conditions - nonessential amino acids
r2532,0.01,0.01,0.01,0.01,0.01,0.01,0.01,Boundary conditions - nonessential amino acids
PROt2r,0.004,0.004,0.004,0.004,0.004,0.004,0.004,Boundary conditions - nonessential amino acids
r2526,0.017,0.017,0.017,0.017,0.017,0.017,0.017,Boundary conditions - nonessential amino acids
CYStec,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Boundary conditions - nonessential amino acids
ASPte,0.1759999999999954,0.168,0.1679999999999957,0.168,0.1679999999999997,0.1072910663086218,0.1072910663086192,Boundary conditions - nonessential amino acids
FACOAL40im,0.006,0.006,0.006,0.006,0.006,0.006,0.006,Butanoate metabolism
GLYC3Ptm,2.9854298691292027,2.982358815477065,0.0,2.9823588154770664,0.0,1.8691255210002955,0.0,Cardiolipin synthesis
NDPK3m,3.0893289095242578,3.0861516881885125,,3.0861516881885085,,1.9278504570566315,,Cardiolipin synthesis
CYTK1m,3.0893289095242578,3.086151688188512,0.0,3.0861516881885085,0.0,1.9278504570566577,0.0,Cardiolipin synthesis
GLYK,1.5027149345645994,1.5011794077385314,0.01,1.5011794077385316,0.01,0.9445627605001478,0.01,Cardiolipin synthesis
GPAMm_hsB_MitoCore,0.3101086423609596,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
CLS_hsm_MitoCore,1.5546644547621298,1.553075844094256,0.0,1.5530758440942545,0.0,0.9739252285283274,0.0,Cardiolipin synthesis
CLPN_MitoCore,1.4927149345646014,1.4911794077385314,0.0,1.4911794077385316,0.0,0.934562760500156,0.0,Cardiolipin synthesis
PGPP_hsm_MitoCore,2.9854298691292005,2.982358815477065,0.0,2.9823588154770664,0.0,1.8691255210002955,0.0,Cardiolipin synthesis
CDSm,3.089328909524256,3.086151688188512,0.0,3.0861516881885085,0.0,1.9278504570566548,0.0,Cardiolipin synthesis
PCHOLPm_hs,3.0893289095242578,3.0861516881885125,,3.08615168818851,,1.9278504570566548,,Cardiolipin synthesis
PGPPTm,2.985429869129205,2.982358815477063,0.0,2.982358815477064,0.0,1.8691255210002955,0.0,Cardiolipin synthesis
AGPAT1B_MitoCore,0.3101086423609603,,,,,,,Cardiolipin synthesis
PPAm,13.8306171708805,13.828142908235058,13.82923048645396,13.82814290823508,13.82923048645396,9.812888964147692,9.117876100107384,Carnitine shuttle
PPA,10.558904300259073,7.374684317218215,7.373286086353923,7.374684317218225,7.373286086353909,5.401535852646133,5.057838171259672,Carnitine shuttle
r2435,1.2442857142857149,1.0,1.2442857142857142,1.0,1.2442857142857142,1.0,1.1684137091717377,Carnitine shuttle
FACOAL160i,1.2442857142857138,1.0,1.244285714285714,1.0,1.2442857142857149,1.0,1.168413709171738,Carnitine shuttle
C160CPT2,1.2442857142857149,1.0,1.2442857142857142,1.0,1.2442857142857142,1.0,1.1684137091717377,Carnitine shuttle
C160CPT1,1.2442857142857138,1.0,1.244285714285714,1.0,1.2442857142857149,1.0,1.168413709171738,Carnitine shuttle
CBPSam,0.3299999999999983,0.322,0.3219999999999952,0.322,0.322,0.2612910663087235,0.2612910663086218,Citrulline biosynthesis
OCBTm,0.3300000000000087,0.3219999999999999,0.3219999999999956,0.322,0.322,0.2612910663087237,0.2612910663086218,Citrulline biosynthesis
CK,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,Creatine ATP buffer
CKc,922.4171107519614,922.4167360230203,920.5439776042732,922.4167360230203,920.543977604273,945.8293261420728,948.1047123298116,Creatine ATP buffer
3SALATAi,0.0059999999999969,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation I
3SPYRSP,0.0059999999999969,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation I
CYSO,0.0059999999999969,,,,,,,Cysteine degradation I
CYSTA,0.0059999999999969,0.006,0.006,0.006,0.006,0.0060000000000096,0.006,Cysteine degradation II
CYSTAm,0.0060000000000002,0.006,0.006,0.006,0.006,0.0060000000000096,0.006,Cysteine degradation II
r0595B_MitoCore,0.006000000000001,0.006,0.006,0.006,0.006,0.0060000000000096,0.006,Cysteine degradation II
MCPST,0.0059999999999954,0.006,0.006,0.006,0.006,0.0060000000000096,0.006,Cysteine degradation II
MCLOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation II
r0595m_MitoCore,0.0060000000000002,0.006,0.006,0.006,0.006,0.0060000000000096,0.006,Cysteine degradation II
MCPSTm_MitoCore,0.0059999999999954,0.006,0.006,0.006,0.006,0.0060000000000096,0.006,Cysteine degradation II
r0193,0.0059999999999977,0.006,0.006,0.006,0.006,0.0060000000000096,0.006,Cysteine degradation III
ME2,1.5426666666666708,0.7539999999999996,1.5193333333333308,0.754,1.5193333333333343,0.6268458688813746,1.4817566329728469,Cytosolic misc
FUM,41.022145530437385,41.014804311598354,41.01803119202823,41.014804311598326,41.01803119202823,29.120221684188767,27.058095604067795,Cytosolic misc
NDPK1,2.23199999999987,2.224000000000092,2.2239999999999864,2.2239999999999447,2.223999999999996,2.1705030813274604,2.1705030813274004,Cytosolic misc
ALATA_L,414.7884714744188,414.7142435950481,414.74687094161885,414.7142435950496,414.7468709416186,294.91382590833075,273.36528300322175,Cytosolic misc
ADK1,10.558904300259057,7.374684317218206,7.373286086353919,7.374684317218221,7.373286086353914,5.40153585264614,5.05783817125967,Cytosolic misc
CIII_MitoCore,39.579905790169015,39.57992989034543,39.579920826506175,39.57992989034543,39.579920826506175,28.91685694082397,26.426178704753173,Electron transport chain
CII_MitoCore,7.3789402173913,7.364717391304338,7.010695652173911,7.364717391304349,7.010695652173914,4.8757098342753125,3.973791948153337,Electron transport chain
CIV_MitoCore,19.789952895084507,19.78996494517272,19.789960413253088,19.78996494517272,19.789960413253088,14.458428470411988,13.213089352376585,Electron transport chain
CV_MitoCore,100.88482054694228,100.86767894320054,100.84056876978612,100.86767894320064,100.84056876978616,73.69466601890262,67.5045988351247,Electron transport chain
CI_MitoCore,29.375754680102503,29.366720236285456,29.35077965512748,29.36672023628545,29.35077965512748,21.316697051382,19.58325841711271,Electron transport chain
ACACT1rm,-0.3338208475409677,-0.3387533782932865,-0.3338200931439217,-0.3387533782932865,-0.3338200931439227,-0.2806874212847049,-0.243958068852987,FA and ketone body metabolism / Ketogenesis
r1450,16.92638859494732,16.924933074464363,9.892999688942805,16.924933074464363,9.8929996889428,4.668376567983263,2.785573424804792,FA metabolism
r0731,1.067934782608695,1.0,1.054391304347826,1.0,1.054391304347826,0.3835616438356164,0.4044240619416318,FA metabolism
r0734,1.0679347826086965,1.0,1.0543913043478257,1.0,1.0543913043478264,0.3835616438356162,0.4044240619416319,FA metabolism
r0730,1.067934782608695,1.0,1.0543913043478257,1.0,1.054391304347826,0.3835616438356164,0.4044240619416318,FA metabolism
r0728,-0.2761528196797044,-0.2841725407356584,-0.2792392555862943,-0.2841725407356582,-0.2792392555862949,-0.2449140731298518,-0.2081847206981337,FA metabolism
r0732,1.067934782608695,1.0,1.0543913043478257,1.0,1.054391304347826,0.3835616438356164,0.4044240619416318,FA metabolism
r0724,-0.2761528196797046,-0.2841725407356588,-0.2792392555862937,-0.2841725407356593,-0.2792392555862951,-0.244914073129852,-0.208184720698134,FA metabolism
r0722,1.0679347826086938,1.0,1.0543913043478246,1.0,1.054391304347826,0.3835616438356164,0.4044240619416318,FA metabolism
r0726,1.0679347826086962,1.0,1.054391304347826,1.0,1.054391304347826,0.3835616438356164,0.4044240619416318,FA metabolism
ACADLC14_MitoCore,16.926388594947248,16.92493307446435,9.8929996889428,16.924933074464363,9.892999688942798,4.668376567983263,2.785573424804792,FA metabolism
r0634,-0.2761528196797054,-0.2841725407356578,-0.279239255586294,-0.2841725407356585,-0.2792392555862949,-0.244914073129852,-0.208184720698134,FA metabolism
MTPC16_MitoCore,1.0679347826084609,1.0,1.054391304347826,1.0,1.054391304347826,0.3835616438356164,0.4044240619416318,FA metabolism
ACADLC16_MitoCore,16.926388594947177,16.92493307446436,9.892999688942794,16.924933074464356,9.892999688942798,4.668376567983263,2.78557342480479,FA metabolism
r0733,1.0679347826086965,1.0,1.0543913043478257,1.0,1.0543913043478264,0.3835616438356162,0.4044240619416319,FA metabolism
r0287,1.0679347826086965,1.0,1.0543913043478257,1.0,1.0543913043478264,0.3835616438356162,0.4044240619416319,FA metabolism
r0660,-0.2761528196797024,-0.2841725407356584,-0.2792392555862942,-0.2841725407356589,-0.279239255586295,-0.2449140731298522,-0.2081847206981334,FA metabolism
r1448,16.9263885949473,16.924933074464363,9.892999688942805,16.924933074464374,9.892999688942798,4.668376567983262,2.7855734248047908,FA metabolism
r1447,16.926388594947255,16.924933074464363,9.892999688942798,16.924933074464374,9.892999688942798,4.668376567983263,2.7855734248047908,FA metabolism
r1451,16.926388594947237,16.924933074464366,9.892999688942805,16.92493307446436,9.892999688942798,4.668376567983262,2.7855734248047908,FA metabolism
MTPC14_MitoCore,1.067934782608518,1.0,1.0543913043478257,1.0,1.054391304347826,0.3835616438356162,0.4044240619416319,FA metabolism
r1446,1.07263043478261,1.006,1.059086956521739,1.006,1.0590869565217385,0.3895616438356162,0.4104240619416319,FA metabolism
ECOAH1m,-0.2902465398332728,-0.2951790705855927,-0.2902457854362296,-0.2951790705855937,-0.2902457854362299,-0.2489124970818857,-0.2121831446501674,FA metabolism
HACD1m,-0.2902465398332728,-0.2951790705855927,-0.2902457854362294,-0.2951790705855937,-0.2902457854362299,-0.2489124970818857,-0.2121831446501674,FA metabolism
MCOATA,1.71,0.0,1.71,0.0,1.71,0.0,1.2552447039472057,FA synthesis - cytosolic
r0768,0.2442857142857142,0.0,0.2442857142857142,0.0,0.2442857142857142,0.0,0.1793206719924579,FA synthesis - cytosolic
r0696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0695,0.244285714285714,0.0,0.2442857142857143,0.0,0.2442857142857141,0.0,0.1793206719924578,FA synthesis - cytosolic
r0762,0.244285714285714,0.0,0.2442857142857142,0.0,0.2442857142857142,0.0,0.1793206719924578,FA synthesis - cytosolic
FA160ACPH,0.2442857142857144,0.0,0.2442857142857142,0.0,0.2442857142857142,0.0,0.1793206719924579,FA synthesis - cytosolic
r0702,0.2442857142857142,0.0,0.2442857142857142,0.0,0.2442857142857142,0.0,0.179320671992458,FA synthesis - cytosolic
r0761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
ACOATA,0.2442857142857142,0.0,0.2442857142857143,0.0,0.2442857142857142,0.0,0.1793206719924579,FA synthesis - cytosolic
ACCOAC,1.71,0.0,1.71,0.0,1.71,0.0,1.2552447039472057,FA synthesis - cytosolic
r0770,0.2442857142857142,0.0,0.2442857142857142,0.0,0.2442857142857142,0.0,0.1793206719924581,FA synthesis - cytosolic
r0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0697,0.2442857142857142,0.0,0.2442857142857142,0.0,0.2442857142857143,0.0,0.1793206719924581,FA synthesis - cytosolic
r0760,0.2442857142857142,0.0,0.2442857142857143,0.0,0.2442857142857148,0.0,0.1793206719924579,FA synthesis - cytosolic
r0713,0.2442857142857137,0.0,0.2442857142857142,0.0,0.2442857142857142,0.0,0.1793206719924579,FA synthesis - cytosolic
r0701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0772,0.2442857142857142,0.0,0.2442857142857142,0.0,0.2442857142857142,0.0,0.1793206719924576,FA synthesis - cytosolic
r0766,0.2442857142857142,0.0,0.2442857142857142,0.0,0.2442857142857142,0.0,0.1793206719924579,FA synthesis - cytosolic
r0691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0681,0.2442857142857142,0.0,0.2442857142857148,0.0,0.2442857142857142,0.0,0.1793206719924579,FA synthesis - cytosolic
r0763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0764,0.2442857142857143,0.0,0.2442857142857142,0.0,0.2442857142857143,0.0,0.1793206719924578,FA synthesis - cytosolic
r0693,0.2442857142857153,0.0,0.2442857142857142,0.0,0.2442857142857142,0.0,0.1793206719924581,FA synthesis - cytosolic
r0771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0678,0.2442857142857142,0.0,0.2442857142857143,0.0,0.2442857142857142,0.0,0.1793206719924579,FA synthesis - cytosolic
r0638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fatty acid elongation in mitochondria
MECR14C_MitoCore,16.45671468190369,16.450628726638275,9.141912732421062,16.450628726638275,9.141912732421062,4.284814924147646,2.38114936286316,Fatty acid elongation in mitochondria
r0633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fatty acid elongation in mitochondria
ACOT2_MitoCore,0.7116913506362881,0.7032446396410783,0.7080912074727681,0.7032446396410779,0.708091207472768,0.7418130216540834,0.7911272496314105,Fatty acid elongation in mitochondria
MECR16C_MitoCore,16.456714681903623,16.450628726638275,9.141912732421057,16.45062872663826,9.14191273242106,4.284814924147646,2.381149362863158,Fatty acid elongation in mitochondria
r0735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fatty acid elongation in mitochondria
r0791,16.456714681903833,16.450628726638275,9.141912732421062,16.450628726638275,9.14191273242106,4.284814924147646,2.38114936286316,Fatty acid elongation in mitochondria
MTHFC,0.7110000000000001,0.2656666666666666,0.6869999999999995,0.2656666666666666,0.687,0.2039696232486618,0.4686570237554274,Folate cytosolic
FOLR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate cytosolic
FTCD,0.01,0.01,0.01,0.01,0.01,0.01,0.01,Folate cytosolic
MTHFD,0.701,0.2556666666666666,0.6769999999999995,0.2556666666666666,0.677,0.1939696232486618,0.4586570237554274,Folate cytosolic
FTHFDH,0.7110000000000001,0.2656666666666666,0.6869999999999995,0.2656666666666666,0.687,0.2039696232486618,0.4686570237554274,Folate cytosolic
DHFR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate cytosolic
FTHFL,0.008,0.0,0.0,0.0,0.0,0.0,0.0,Folate cytosolic
MTHFCm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate mitochondrial
FTHFDHm_MitoCore,0.008,0.0,0.0,0.0,0.0,0.0,0.0,Folate mitochondrial
FTHFLm,0.008,0.0,0.0,0.0,0.0,0.0,0.0,Folate mitochondrial
r0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate mitochondrial
MTHFD2m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate mitochondrial
MTHFDm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate mitochondrial
r0514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate mitochondrial
r0178,7.455608695652176,7.452565217391306,0.0,7.452565217391306,0.0,3.193956521739131,0.0,GABA shunt
GLUDC,7.455608695652171,7.452565217391306,0.0,7.452565217391306,0.0,3.193956521739131,0.0,GABA shunt
ABTArm,7.455608695652176,7.452565217391306,,7.452565217391306,,3.193956521739131,,GABA shunt
4ABUTtm,7.455608695652176,7.452565217391306,0.0,7.452565217391306,0.0,3.193956521739131,0.0,GABA shunt - transport
PEPCK,1.918,1.918,1.917999999999999,1.9180000000000013,1.917999999999996,1.917858823529412,1.9178588235294105,Gluconeogenesis
G6PPer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gluconeogenesis
FBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gluconeogenesis
GLUDxm,0.3300000000000117,0.322,0.3219999999999959,0.322,0.322,0.1002142857142832,0.1002142857142844,Glutamate degradation/synthesis
GLUDym,0.3300000000000006,0.322,0.3219999999999954,0.3220000000000192,0.322,0.1002142857142836,0.1002142857142843,Glutamate degradation/synthesis
GLUDxi,0.3299999999999923,0.322,0.3219999999999954,0.322,0.3220000000000005,0.2534893617021244,0.253489361702124,Glutamate degradation/synthesis - cytosolic
GLUDy,0.3299999999999887,0.2513333333333333,0.3219999999999954,0.2513333333333462,0.322,0.1978581560283694,0.253489361702124,Glutamate degradation/synthesis - cytosolic
GLUNm,25.9351544671512,25.930515224690726,25.932554433851163,25.930515224690787,25.93255443385117,18.38791680777773,17.09414245824192,Glutamine degradation
GLUN_MitoCore,20.1784607744312,20.17484968840792,20.176436964727387,20.174849688407942,20.17643696472739,14.312756866594576,13.298413767724291,Glutamine degradation - cytosolic
GLNS,25.935154467151207,25.930515224690737,25.93255443385116,25.930515224690787,25.93255443385116,18.387916807777746,17.094142458241933,Glutamine synthesis
AMPTASECG,10.0892303872156,10.087424844203966,10.088218482363692,10.08742484420398,10.088218482363692,7.15637843329727,6.649206883862149,Glutathione degradation
r0129,10.08923038721559,10.087424844203966,10.088218482363692,10.08742484420398,10.088218482363692,7.15637843329727,6.649206883862142,Glutathione degradation
GTHS,10.0892303872156,10.087424844203966,10.088218482363692,10.08742484420398,10.088218482363692,7.15637843329727,6.649206883862149,Glutathione synthesis
GLUCYS,10.0892303872156,10.087424844203966,10.088218482363692,10.08742484420398,10.088218482363692,7.15637843329727,6.649206883862149,Glutathione synthesis
r0205,4.458999999999966,4.443,4.442999999999996,4.443,4.443,4.091200887889048,4.091200887889119,Glycerol phosphate shuttle
G3PD1,0.01,0.01,0.01,0.01,0.01,0.0097183098591549,0.0097183098591549,Glycerol phosphate shuttle
