,mitocore,mitoparp,293,mitoparp + high NAD,293 + high NAD,mitoparp + low NAD,293 + low NAD,subsystem
NADtm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
FE2t,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
FORt_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
NADHtm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
Hct_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
r0940,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
SO3t_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
CYANt,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
FOLt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
NOt,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
r0899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
r1423,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
Hmt_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
TCYNTt,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
NADt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
r0942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels
r0942b_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels
ETOHt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels
BUTt2r,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - alternative fuels
GLYCt,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,Boundary conditions - alternative fuels
ACACt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - core
HDCAtr,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - core
BHBt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - core
Biomass_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - core
HDCAtm_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - core
HCO3t_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - core
O2t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - core
L_LACt2r,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - core
CO2t,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - core
GLCt1r,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - core
HIStiDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - essential amino acids
TRPt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - essential amino acids
VALtec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - essential amino acids
ILEtec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - essential amino acids
LEUtec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - essential amino acids
LYStiDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - essential amino acids
r2534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - essential amino acids
METtec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - essential amino acids
PHEtec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - essential amino acids
ARGtiDF,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - nonessential amino acids
GLYt2r,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - nonessential amino acids
r2525,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - nonessential amino acids
GLUt_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - nonessential amino acids
ALAt2r,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - nonessential amino acids
TYRt,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - nonessential amino acids
r2532,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - nonessential amino acids
PROt2r,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - nonessential amino acids
r2526,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - nonessential amino acids
CYStec,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary conditions - nonessential amino acids
ASPte,-0.154,-0.154,-0.154,-0.154,-0.154,-0.154,-0.154,Boundary conditions - nonessential amino acids
FACOAL40im,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Butanoate metabolism
GLYC3Ptm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
NDPK3m,-1000.0,,-1000.0,,-1000.0,,-1000.0,Cardiolipin synthesis
CYTK1m,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Cardiolipin synthesis
GLYK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
GPAMm_hsB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
CLS_hsm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
CLPN_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Cardiolipin synthesis
PGPP_hsm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
CDSm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Cardiolipin synthesis
PCHOLPm_hs,0.0,,0.0,,0.0,,0.0,Cardiolipin synthesis
PGPPTm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
AGPAT1B_MitoCore,0.0,,,,,,,Cardiolipin synthesis
PPAm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Carnitine shuttle
PPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carnitine shuttle
r2435,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Carnitine shuttle
FACOAL160i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carnitine shuttle
C160CPT2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Carnitine shuttle
C160CPT1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Carnitine shuttle
CBPSam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Citrulline biosynthesis
OCBTm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Citrulline biosynthesis
CK,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Creatine ATP buffer
CKc,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Creatine ATP buffer
3SALATAi,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Cysteine degradation I
3SPYRSP,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Cysteine degradation I
CYSO,0.0,,,,,,,Cysteine degradation I
CYSTA,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Cysteine degradation II
CYSTAm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Cysteine degradation II
r0595B_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation II
MCPST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation II
MCLOR,-1000.0,-1000.0,-1000.0,-0.0059999999999954,-0.0059999999999967,-0.0038798586572408,-0.0038798586572417,Cysteine degradation II
r0595m_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation II
MCPSTm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation II
r0193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation III
ME2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cytosolic misc
FUM,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Cytosolic misc
NDPK1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Cytosolic misc
ALATA_L,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Cytosolic misc
ADK1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Cytosolic misc
CIII_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Electron transport chain
CII_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Electron transport chain
CIV_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Electron transport chain
CV_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Electron transport chain
CI_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Electron transport chain
ACACT1rm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA and ketone body metabolism / Ketogenesis
r1450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA metabolism
r0731,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA metabolism
r0734,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA metabolism
r0730,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,FA metabolism
r0728,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA metabolism
r0732,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA metabolism
r0724,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA metabolism
r0722,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,FA metabolism
r0726,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,FA metabolism
ACADLC14_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA metabolism
r0634,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA metabolism
MTPC16_MitoCore,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,FA metabolism
ACADLC16_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA metabolism
r0733,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,FA metabolism
r0287,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA metabolism
r0660,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA metabolism
r1448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA metabolism
r1447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA metabolism
r1451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA metabolism
MTPC14_MitoCore,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,FA metabolism
r1446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA metabolism
ECOAH1m,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA metabolism
HACD1m,-1000.0,-1000.0,-1000.0,-1.0843043478260916,-1.036,-1.080500595025143,-1.0323656994369856,FA metabolism
MCOATA,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA synthesis - cytosolic
r0768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0696,-1000.0,-1000.0,-1000.0,-0.2442857142857143,0.0,-0.2374044265593561,0.0,FA synthesis - cytosolic
r0695,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA synthesis - cytosolic
r0762,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA synthesis - cytosolic
FA160ACPH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0702,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA synthesis - cytosolic
r0761,-1000.0,-1000.0,-1000.0,-0.2442857142857142,0.0,-0.2374044265593561,0.0,FA synthesis - cytosolic
ACOATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
ACCOAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0770,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA synthesis - cytosolic
r0769,-1000.0,-1000.0,-1000.0,-0.2442857142857143,0.0,-0.2374044265593561,0.0,FA synthesis - cytosolic
r0697,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA synthesis - cytosolic
r0760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0701,-1000.0,-1000.0,-1000.0,-0.2442857142857142,0.0,-0.2374044265593561,0.0,FA synthesis - cytosolic
r0773,-1000.0,-1000.0,-1000.0,-0.2442857142857146,0.0,-0.2374044265593564,0.0,FA synthesis - cytosolic
r0692,-1000.0,-1000.0,-1000.0,-0.2442857142857142,0.0,-0.2374044265593561,0.0,FA synthesis - cytosolic
r0765,-1000.0,-1000.0,-1000.0,-0.2442857142857142,0.0,-0.2374044265593561,0.0,FA synthesis - cytosolic
r0767,-1000.0,-1000.0,-1000.0,-0.2442857142857143,0.0,-0.2374044265593561,0.0,FA synthesis - cytosolic
r0712,-1000.0,-1000.0,-1000.0,-0.2442857142857142,0.0,-0.2374044265593561,0.0,FA synthesis - cytosolic
r0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0691,-1000.0,-1000.0,-1000.0,-0.2442857142857142,0.0,-0.237404426559356,0.0,FA synthesis - cytosolic
r0681,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA synthesis - cytosolic
r0763,-1000.0,-1000.0,-1000.0,-0.2442857142857142,0.0,-0.237404426559356,0.0,FA synthesis - cytosolic
r0682,-1000.0,-1000.0,-1000.0,-0.2442857142857142,0.0,-0.2374044265593561,0.0,FA synthesis - cytosolic
r0694,-1000.0,-1000.0,-1000.0,-0.2442857142857142,0.0,-0.2374044265593561,0.0,FA synthesis - cytosolic
r0764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0693,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,FA synthesis - cytosolic
r0771,-1000.0,-1000.0,-1000.0,-0.2442857142857143,0.0,-0.2374044265593561,0.0,FA synthesis - cytosolic
r0678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA synthesis - cytosolic
r0638,-1000.0,-1000.0,-1000.0,-9.14191273242106,-16.450628726638286,-2.38114936286316,-4.284814924147646,Fatty acid elongation in mitochondria
MECR14C_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fatty acid elongation in mitochondria
r0633,-1000.0,-1000.0,-1000.0,-9.14191273242106,-16.450628726638282,-2.38114936286316,-4.284814924147645,Fatty acid elongation in mitochondria
ACOT2_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fatty acid elongation in mitochondria
MECR16C_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fatty acid elongation in mitochondria
r0735,-1000.0,-1000.0,-1000.0,-9.14191273242106,-16.45062872663828,-2.38114936286316,-4.2848149241476445,Fatty acid elongation in mitochondria
r0791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fatty acid elongation in mitochondria
MTHFC,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Folate cytosolic
FOLR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate cytosolic
FTCD,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Folate cytosolic
MTHFD,-1000.0,-1000.0,-1000.0,-0.01,-0.01,-0.009,-0.009,Folate cytosolic
FTHFDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate cytosolic
DHFR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate cytosolic
FTHFL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate cytosolic
MTHFCm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Folate mitochondrial
FTHFDHm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folate mitochondrial
FTHFLm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Folate mitochondrial
r0226,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Folate mitochondrial
MTHFD2m,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Folate mitochondrial
MTHFDm,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Folate mitochondrial
r0514,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Folate mitochondrial
r0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GABA shunt
GLUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GABA shunt
ABTArm,-1000.0,,-1000.0,,-1000.0,,-1000.0,GABA shunt
4ABUTtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,GABA shunt - transport
PEPCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gluconeogenesis
G6PPer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gluconeogenesis
FBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gluconeogenesis
GLUDxm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glutamate degradation/synthesis
GLUDym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glutamate degradation/synthesis
GLUDxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glutamate degradation/synthesis - cytosolic
GLUDy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glutamate degradation/synthesis - cytosolic
GLUNm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glutamine degradation
GLUN_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glutamine degradation - cytosolic
GLNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glutamine synthesis
AMPTASECG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glutathione degradation
r0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glutathione degradation
GTHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glutathione synthesis
GLUCYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glutathione synthesis
r0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glycerol phosphate shuttle
G3PD1,-1000.0,-1000.0,-1000.0,-4.432999999999995,-4.4329999999999945,-4.308126760563376,-4.308126760563375,Glycerol phosphate shuttle
GCCam,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Glycine cleavage system (GCS)
GCCbim,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Glycine cleavage system (GCS)
GCCcm,-1000.0,-1000.0,-1000.0,-0.344,-0.3439999999999967,-0.1859063829787234,-0.1859063829787235,Glycine cleavage system (GCS)
AACTOORm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glycine degradation
LDH_Dm_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Glycine degradation
GLYOXm,0.0,,0.0,,0.0,,0.0,Glycine degradation
GLYATm,-1000.0,,,,,,,Glycine degradation
AOBUTDsm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glycine degradation
LGTHLm_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Glycine degradation
PFK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glycolysis
HEX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glycolysis
r0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glycolysis
LDH_L,-1000.0,-1000.0,-1000.0,-2.0874999999999946,-2.0554999999999866,-1.3498674911660744,-1.3291749116607685,Glycolysis/gluconeogenesis
PGM,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Glycolysis/gluconeogenesis
PGK,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Glycolysis/gluconeogenesis
PGI,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Glycolysis/gluconeogenesis
GAPD,-1000.0,-1000.0,-1000.0,0.0,-0.8204999999999991,0.0,-0.7773157894736833,Glycolysis/gluconeogenesis
TPI,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Glycolysis/gluconeogenesis
PYK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glycolysis/gluconeogenesis
ENO,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Glycolysis/gluconeogenesis
FBA,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Glycolysis/gluconeogenesis
