EntryID	Organism	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
1004	Sus scrofa	P33198	1.1.1.42	Vmax		1.33333333E-6		1.66667E-7	mol*s^(-1)*g^(-1)
1004	Sus scrofa	P33198	1.1.1.42	Km	Isocitrate	0.001422		3.1E-5	M
1004	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.0	0.001		M
1004	Sus scrofa	P33198	1.1.1.42	Km	NADP+	9.24E-5		-	M
1004	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.0	0.004		M
1004	Sus scrofa	P33198	1.1.1.42	Km	Mn2+	0.001003		2.02E-4	M
1005	Sus scrofa	P33198	1.1.1.42	Km	Mn2+	2.19E-4		5.9E-5	M
1005	Sus scrofa	P33198	1.1.1.42	Km	NADP+	7.81E-5		1.2E-5	M
1005	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.0	0.004		M
1005	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.0	0.002		M
1005	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.0	0.001		M
1005	Sus scrofa	P33198	1.1.1.42	Vmax		3.33333333E-7			mol*s^(-1)*g^(-1)
1005	Sus scrofa	P33198	1.1.1.42	Km	Isocitrate	1.17E-4		1.2E-5	M
1006	Sus scrofa	P33198	1.1.1.42	Km	NADP+	7.66E-5		-	M
1006	Sus scrofa	P33198	1.1.1.42	Vmax		2.0E-4		-	mol*s^(-1)*g^(-1)
1006	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.0	0.002		M
1006	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.0	0.004		M
1006	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.0	0.001		M
1006	Sus scrofa	P33198	1.1.1.42	Km	Mn2+	3.1E-7		5.0E-8	M
1006	Sus scrofa	P33198	1.1.1.42	Km	Isocitrate	8.7E-6		9.0E-7	M
1007	Sus scrofa	P33198	1.1.1.42	Vmax		7.33333333E-8		1.66667E-8	mol*s^(-1)*g^(-1)
1007	Sus scrofa	P33198	1.1.1.42	Km	Isocitrate	4.46E-5		-	M
1007	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.0	0.002		M
1007	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.0	0.001		M
1007	Sus scrofa	P33198	1.1.1.42	Km	NADP+	4.25E-6		6.8E-7	M
1007	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.0	0.004		M
1007	Sus scrofa	P33198	1.1.1.42	Km	Mn2+	2.41E-4		8.5E-5	M
1008	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.0	0.004		M
1008	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.0	0.001		M
1008	Sus scrofa	P33198	1.1.1.42	Km	NADP+	1.29E-5		1.0E-6	M
1008	Sus scrofa	P33198	1.1.1.42	Km	Mn2+	1.3E-7		2.0E-8	M
1008	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.0	0.002		M
1008	Sus scrofa	P33198	1.1.1.42	Km	Isocitrate	1.02E-5		1.0E-6	M
1008	Sus scrofa	P33198	1.1.1.42	Vmax		2.73333333E-5		3.83333E-6	mol*s^(-1)*g^(-1)
1009	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.0	0.004		M
1009	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.0	0.001		M
1009	Sus scrofa	P33198	1.1.1.42	Vmax		1.16666667E-5		1.16667E-6	mol*s^(-1)*g^(-1)
1009	Sus scrofa	P33198	1.1.1.42	Km	Isocitrate	6.38E-6		7.2E-7	M
1009	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.0	0.002		M
1009	Sus scrofa	P33198	1.1.1.42	Km	NADP+	8.85E-6		7.9E-7	M
1009	Sus scrofa	P33198	1.1.1.42	Km	Mn2+	1.2E-7		3.0E-8	M
1010	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.0	0.001		M
1010	Sus scrofa	P33198	1.1.1.42	Vmax		3.0E-6		1.66667E-7	mol*s^(-1)*g^(-1)
1010	Sus scrofa	P33198	1.1.1.42	Km	NADP+	4.14E-6		7.6E-7	M
1010	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.0	0.002		M
1010	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.0	0.004		M
1010	Sus scrofa	P33198	1.1.1.42	Km	Mn2+	2.9E-7		9.0E-8	M
1010	Sus scrofa	P33198	1.1.1.42	Km	Isocitrate	3.71E-6		-	M
1011	Sus scrofa	P33198	1.1.1.42	concentration	Mg2+	0.0	0.002		M
1011	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1011	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1011	Sus scrofa	P33198	1.1.1.42	Km	Mg2+	2.39E-6		5.8E-7	M
1011	Sus scrofa	P33198	1.1.1.42	Vmax		4.15E-4		-	mol*s^(-1)*g^(-1)
1012	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1012	Sus scrofa	P33198	1.1.1.42	Km	Cd2+	5.21E-6		5.8E-7	M
1012	Sus scrofa	P33198	1.1.1.42	Vmax		7.1E-4		5.0E-6	mol*s^(-1)*g^(-1)
1012	Sus scrofa	P33198	1.1.1.42	concentration	Cd2+	0.0	0.002		M
1012	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1013	Sus scrofa	P33198	1.1.1.42	Km	Zn2+	3.94E-6		-	M
1013	Sus scrofa	P33198	1.1.1.42	Vmax		5.61666667E-4		-	mol*s^(-1)*g^(-1)
1013	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1013	Sus scrofa	P33198	1.1.1.42	concentration	Zn2+	0.0	0.002		M
1013	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1014	Sus scrofa	P33198	1.1.1.42	concentration	Co2+	0.0	0.002		M
1014	Sus scrofa	P33198	1.1.1.42	Vmax		2.85E-4		1.16667E-5	mol*s^(-1)*g^(-1)
1014	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1014	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1014	Sus scrofa	P33198	1.1.1.42	Km	Co2+	5.91E-6		-	M
1015	Sus scrofa	P33198	1.1.1.42	concentration	Mg2+	0.0	0.002		M
1015	Sus scrofa	P33198	1.1.1.42	Vmax		7.6E-5		6.66667E-7	mol*s^(-1)*g^(-1)
1015	Sus scrofa	P33198	1.1.1.42	Km	Mg2+	1.37E-6			M
1015	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1015	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1016	Sus scrofa	P33198	1.1.1.42	Km	Cd2+	5.0E-7		9.0E-8	M
1016	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1016	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1016	Sus scrofa	P33198	1.1.1.42	concentration	Cd2+	0.0	0.002		M
1016	Sus scrofa	P33198	1.1.1.42	Vmax		5.23333333E-5		1.0E-6	mol*s^(-1)*g^(-1)
1017	Sus scrofa	P33198	1.1.1.42	Km	Zn2+	4.0E-7		4.0E-8	M
1017	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1017	Sus scrofa	P33198	1.1.1.42	Vmax		8.13333333E-5		1.33333E-6	mol*s^(-1)*g^(-1)
1017	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1017	Sus scrofa	P33198	1.1.1.42	concentration	Zn2+	0.0	0.002		M
1018	Sus scrofa	P33198	1.1.1.42	Vmax		8.43333333E-5		2.83333E-6	mol*s^(-1)*g^(-1)
1018	Sus scrofa	P33198	1.1.1.42	concentration	Co2+	0.0	0.002		M
1018	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1018	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1018	Sus scrofa	P33198	1.1.1.42	Km	Co2+	1.23E-6		2.5E-7	M
1019	Sus scrofa	P33198	1.1.1.42	Vmax		1.73333333E-5		5.0E-7	mol*s^(-1)*g^(-1)
1019	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1019	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1019	Sus scrofa	P33198	1.1.1.42	Km	Co2+	4.0E-7			M
1019	Sus scrofa	P33198	1.1.1.42	concentration	Co2+	0.0	0.002		M
1020	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1020	Sus scrofa	P33198	1.1.1.42	Vmax		1.73333333E-5		5.0E-7	mol*s^(-1)*g^(-1)
1020	Sus scrofa	P33198	1.1.1.42	concentration	Zn2+	0.0	0.002		M
1020	Sus scrofa	P33198	1.1.1.42	Km	Zn2+	4.0E-7			M
1020	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1021	Sus scrofa	P33198	1.1.1.42	Km	Mg2+	2.87E-6		6.3E-7	M
1021	Sus scrofa	P33198	1.1.1.42	Vmax		2.26666667E-5		3.33333E-7	mol*s^(-1)*g^(-1)
1021	Sus scrofa	P33198	1.1.1.42	concentration	Mg2+	0.0	0.002		M
1021	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1021	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1022	Sus scrofa	P33198	1.1.1.42	Km	Cd2+	1.34E-6		2.9E-7	M
1022	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1022	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1022	Sus scrofa	P33198	1.1.1.42	Vmax		1.86666667E-5		5.0E-7	mol*s^(-1)*g^(-1)
1022	Sus scrofa	P33198	1.1.1.42	concentration	Cd2+	0.0	0.002		M
1023	Sus scrofa	P33198	1.1.1.42	Vmax		4.35E-5		2.16667E-6	mol*s^(-1)*g^(-1)
1023	Sus scrofa	P33198	1.1.1.42	Km	Cd2+	2.47E-5		-	M
1023	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1023	Sus scrofa	P33198	1.1.1.42	concentration	Cd2+	0.0	0.002		M
1023	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1024	Sus scrofa	P33198	1.1.1.42	Km	Mg2+	6.47E-6		6.8E-7	M
1024	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1024	Sus scrofa	P33198	1.1.1.42	Vmax		1.83333333E-6			mol*s^(-1)*g^(-1)
1024	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1024	Sus scrofa	P33198	1.1.1.42	concentration	Mg2+	0.0	0.002		M
1025	Sus scrofa	P33198	1.1.1.42	concentration	Zn2+	0.0	0.002		M
1025	Sus scrofa	P33198	1.1.1.42	Vmax		3.85E-5		1.83333E-6	mol*s^(-1)*g^(-1)
1025	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1025	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1025	Sus scrofa	P33198	1.1.1.42	Km	Zn2+	9.51E-6		-	M
1026	Sus scrofa	P33198	1.1.1.42	Km	Co2+	6.0E-6		-	M
1026	Sus scrofa	P33198	1.1.1.42	Vmax		3.83333333E-6		2.5E-6	mol*s^(-1)*g^(-1)
1026	Sus scrofa	P33198	1.1.1.42	concentration	Co2+	0.0	0.002		M
1026	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001			M
1026	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004			M
1027	Sus scrofa	P33198	1.1.1.42	Vmax		7.15E-4		1.66667E-5	mol*s^(-1)*g^(-1)
1027	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	2.0E-4	0.001		M
1027	Sus scrofa	P33198	1.1.1.42	pKa		5.24		0.03	-
1027	Sus scrofa	P33198	1.1.1.42	pH		5.0	8.0		-
1027	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004	0.008		M
1027	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.002	0.004		M
1028	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	2.0E-4	5.0E-4		M
1028	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004	0.008		M
1028	Sus scrofa	P33198	1.1.1.42	pH		5.0	8.0		-
1028	Sus scrofa	P33198	1.1.1.42	concentration	Mg2+	0.002	0.004		M
1028	Sus scrofa	P33198	1.1.1.42	pKa		5.73		0.02	-
1028	Sus scrofa	P33198	1.1.1.42	Vmax		4.15E-4		-	mol*s^(-1)*g^(-1)
1029	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004	0.008		M
1029	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	2.5E-4	5.0E-4		M
1029	Sus scrofa	P33198	1.1.1.42	pKa		5.41		0.06	-
1029	Sus scrofa	P33198	1.1.1.42	pH		5.0	8.0		-
1029	Sus scrofa	P33198	1.1.1.42	concentration	Cd2+	0.002			M
1029	Sus scrofa	P33198	1.1.1.42	Vmax		7.1E-4		5.0E-6	mol*s^(-1)*g^(-1)
1030	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004	0.008		M
1030	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	5.0E-4			M
1030	Sus scrofa	P33198	1.1.1.42	pKa		5.07		0.04	-
1030	Sus scrofa	P33198	1.1.1.42	concentration	Co2+	0.002			M
1030	Sus scrofa	P33198	1.1.1.42	pH		5.0	8.0		-
1030	Sus scrofa	P33198	1.1.1.42	Vmax		2.85E-4		1.16667E-5	mol*s^(-1)*g^(-1)
1031	Sus scrofa	P33198	1.1.1.42	pH		5.0	8.0		-
1031	Sus scrofa	P33198	1.1.1.42	pKa		8.27		0.1	-
1031	Sus scrofa	P33198	1.1.1.42	Vmax		1.16666667E-6		1.66667E-7	mol*s^(-1)*g^(-1)
1031	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.002	0.004		M
1031	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	5.0E-4	0.001		M
1031	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004	0.008		M
1032	Sus scrofa	P33198	1.1.1.42	Vmax		2.73333333E-5		3.83333E-6	mol*s^(-1)*g^(-1)
1032	Sus scrofa	P33198	1.1.1.42	pH		5.0	8.0		-
1032	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.002	0.004		M
1032	Sus scrofa	P33198	1.1.1.42	pKa		5.0		0.03	-
1032	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	5.0E-4	0.001		M
1032	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004	0.008		M
1033	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.002	0.004		M
1033	Sus scrofa	P33198	1.1.1.42	pKa		5.53		0.09	-
1033	Sus scrofa	P33198	1.1.1.42	pH		5.0	8.0		-
1033	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004	0.008		M
1033	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	5.0E-4	0.001		M
1033	Sus scrofa	P33198	1.1.1.42	Vmax		1.88333333E-5		1.16667E-6	mol*s^(-1)*g^(-1)
1034	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.002	0.004		M
1034	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004	0.008		M
1034	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	5.0E-4	0.001		M
1034	Sus scrofa	P33198	1.1.1.42	pH		5.0	8.0		-
1034	Sus scrofa	P33198	1.1.1.42	Vmax		3.0E-6		1.66667E-7	mol*s^(-1)*g^(-1)
1034	Sus scrofa	P33198	1.1.1.42	pKa		4.69		0.11	-
1035	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	5.0E-4	0.002		M
1035	Sus scrofa	P33198	1.1.1.42	pKa		5.24		0.06	-
1035	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.002	0.004		M
1035	Sus scrofa	P33198	1.1.1.42	pH		5.0	8.0		-
1035	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004	0.008		M
1035	Sus scrofa	P33198	1.1.1.42	Vmax		2.0E-4		-	mol*s^(-1)*g^(-1)
1036	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.002	0.008		M
1036	Sus scrofa	P33198	1.1.1.42	pKa		8.18		0.07	-
1036	Sus scrofa	P33198	1.1.1.42	pH		5.0	8.0		-
1036	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	5.0E-4	0.002		M
1036	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.004	0.016		M
1036	Sus scrofa	P33198	1.1.1.42	Vmax		8.33333333E-7			mol*s^(-1)*g^(-1)
1037	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.016			M
1037	Sus scrofa	P33198	1.1.1.42	pH		5.0	8.0		-
1037	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.008			M
1037	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.001	0.002		M
1037	Sus scrofa	P33198	1.1.1.42	pKa		7.76		0.06	-
1037	Sus scrofa	P33198	1.1.1.42	Vmax		9.5E-6		6.66667E-7	mol*s^(-1)*g^(-1)
1092	Sus scrofa	P50578	1.1.1.2	concentration	4-Cyanobenzaldehyde	0.001			M
1092	Sus scrofa	P50578	1.1.1.2	Km	4-Cyanobenzaldehyde	5.1E-4			M
1092	Sus scrofa	P50578	1.1.1.2	kcat		16.6333333			s^(-1)
1092	Sus scrofa	P50578	1.1.1.2	concentration	NADPH	2.0E-4			M
1093	Sus scrofa	P50578	1.1.1.2	concentration	NADPH	2.0E-4			M
1093	Sus scrofa	P50578	1.1.1.2	kcat		19.3333333			s^(-1)
1093	Sus scrofa	P50578	1.1.1.2	concentration	4-Pyridinecarboxaldehyde	0.001			M
1093	Sus scrofa	P50578	1.1.1.2	Km	4-Pyridinecarboxaldehyde	6.9E-4			M
1094	Sus scrofa	P50578	1.1.1.2	concentration	NADPH	2.0E-4			M
1094	Sus scrofa	P50578	1.1.1.2	Km	3-Pyridinecarboxaldehyde	0.0026			M
1094	Sus scrofa	P50578	1.1.1.2	kcat		26.8333333			s^(-1)
1094	Sus scrofa	P50578	1.1.1.2	concentration	3-Pyridinecarboxaldehyde	0.001			M
1095	Sus scrofa	P50578	1.1.1.2	kcat		21.6666667			s^(-1)
1095	Sus scrofa	P50578	1.1.1.2	concentration	4-Carboxybenzaldehyde	0.001			M
1095	Sus scrofa	P50578	1.1.1.2	Km	4-Carboxybenzaldehyde	7.8E-5			M
1095	Sus scrofa	P50578	1.1.1.2	concentration	NADPH	2.0E-4			M
1096	Sus scrofa	P50578	1.1.1.2	concentration	NADPH	2.0E-4			M
1096	Sus scrofa	P50578	1.1.1.2	concentration	D-Glyceraldehyde	0.001			M
1096	Sus scrofa	P50578	1.1.1.2	Km	D-Glyceraldehyde	0.0076			M
1096	Sus scrofa	P50578	1.1.1.2	kcat		14.4166667			s^(-1)
1097	Sus scrofa	P50578	1.1.1.2	concentration	D-Glucuronate	0.001			M
1097	Sus scrofa	P50578	1.1.1.2	concentration	NADPH	2.0E-4			M
1097	Sus scrofa	P50578	1.1.1.2	kcat		11.55			s^(-1)
1097	Sus scrofa	P50578	1.1.1.2	Km	D-Glucuronate	0.0084			M
1098	Sus scrofa	P50578	1.1.1.2	kcat		0.611666667			s^(-1)
1098	Sus scrofa	P50578	1.1.1.2	concentration	NADPH	5.0E-4			M
1098	Sus scrofa	P50578	1.1.1.2	Km	Glycerol	0.775			M
1098	Sus scrofa	P50578	1.1.1.2	concentration	Glycerol	0.1			M
1099	Sus scrofa	P50578	1.1.1.2	Km	(+)-Camphorquinone	3.3E-4			M
1099	Sus scrofa	P50578	1.1.1.2	concentration	NADPH	2.0E-4			M
1099	Sus scrofa	P50578	1.1.1.2	kcat		5.6			s^(-1)
1099	Sus scrofa	P50578	1.1.1.2	concentration	(+)-Camphorquinone	0.001			M
1100	Sus scrofa	P50578	1.1.1.2	Km	3-Pyridinemethanol	0.0026			M
1100	Sus scrofa	P50578	1.1.1.2	concentration	NADPH	5.0E-4			M
1100	Sus scrofa	P50578	1.1.1.2	kcat		26.8333333			s^(-1)
1100	Sus scrofa	P50578	1.1.1.2	concentration	3-Pyridinemethanol	0.1			M
1101	Sus scrofa	P50578	1.1.1.2	kcat		1.76666667			s^(-1)
1101	Sus scrofa	P50578	1.1.1.2	concentration	L-Arabitol	0.1			M
1101	Sus scrofa	P50578	1.1.1.2	Km	L-Arabitol	1.36			M
1101	Sus scrofa	P50578	1.1.1.2	concentration	NADP+	5.0E-4			M
1596	Sus scrofa	P00371	1.4.3.3	concentration	O2	5.0E-5	5.0E-4		M
1596	Sus scrofa	P00371	1.4.3.3	Km	O2	1.0E-4			M
1596	Sus scrofa	P00371	1.4.3.3	concentration	D-Alanine	0.0025	0.025		M
1596	Sus scrofa	P00371	1.4.3.3	Km	D-Alanine	0.0023			M
1596	Sus scrofa	P00371	1.4.3.3	kcat		12.7			s^(-1)
1597	Sus scrofa	P00371	1.4.3.3	Km	D-Proline	0.0095			M
1597	Sus scrofa	P00371	1.4.3.3	kcat		87.2			s^(-1)
1597	Sus scrofa	P00371	1.4.3.3	Km	O2	0.00151			M
1598	Sus scrofa	P00371	1.4.3.3	Km	D-Methionine	0.03			M
1598	Sus scrofa	P00371	1.4.3.3	Km	O2	0.0042			M
1598	Sus scrofa	P00371	1.4.3.3	kcat		143.0			s^(-1)
1599	Sus scrofa	P00371	1.4.3.3	Km	O2	8.3E-4			M
1599	Sus scrofa	P00371	1.4.3.3	kcat		55.9			s^(-1)
1599	Sus scrofa	P00371	1.4.3.3	Km	D-Phenylalanine	0.0123			M
1600	Sus scrofa	P00371	1.4.3.3	kcat		48.8			s^(-1)
1600	Sus scrofa	P00371	1.4.3.3	Km	O2	2.9E-4			M
1600	Sus scrofa	P00371	1.4.3.3	Km	D-Phenylalanine	0.0075			M
1601	Sus scrofa	P00371	1.4.3.3	Km	O2	0.00197			M
1601	Sus scrofa	P00371	1.4.3.3	Km	D-Methionine	0.0156			M
1601	Sus scrofa	P00371	1.4.3.3	kcat		92.0			s^(-1)
1602	Sus scrofa	P00371	1.4.3.3	Km	D-Proline	0.0091			M
1602	Sus scrofa	P00371	1.4.3.3	kcat		83.7			s^(-1)
1602	Sus scrofa	P00371	1.4.3.3	Km	O2	0.00135			M
1603	Sus scrofa	P00371	1.4.3.3	Km	D-Alanine	0.027			M
1603	Sus scrofa	P00371	1.4.3.3	Km	O2	5.0E-5			M
1603	Sus scrofa	P00371	1.4.3.3	kcat		5.0			s^(-1)
1604	Sus scrofa	P00371	1.4.3.3	Km	D-Alanine	0.0028			M
1604	Sus scrofa	P00371	1.4.3.3	kcat		11.6			s^(-1)
1604	Sus scrofa	P00371	1.4.3.3	Km	O2	1.2E-4			M
1605	Sus scrofa	P00371	1.4.3.3	Km	O2	3.4E-4			M
1605	Sus scrofa	P00371	1.4.3.3	Km	D-Proline	0.0122			M
1605	Sus scrofa	P00371	1.4.3.3	kcat		11.7			s^(-1)
1606	Sus scrofa	P00371	1.4.3.3	Km	D-Methionine	0.005			M
1606	Sus scrofa	P00371	1.4.3.3	kcat		47.5			s^(-1)
1606	Sus scrofa	P00371	1.4.3.3	Km	O2	0.0021			M
1607	Sus scrofa	P00371	1.4.3.3	Km	D-Phenylalanine	0.0183			M
1607	Sus scrofa	P00371	1.4.3.3	kcat		7.1			s^(-1)
1607	Sus scrofa	P00371	1.4.3.3	Km	O2	2.0E-4			M
1705	Sus scrofa	P41367	1.3.8.7	kcat		0.61		0.01	s^(-1)
1705	Sus scrofa	P41367	1.3.8.7	Km	[4-(Dimethylamino)phenyl]propionyl-CoA	6.1E-5		4.7E-6	M
1706	Sus scrofa	P41367	1.3.8.7	concentration	Ferricenium hexafluorophosphate	2.5E-4	3.5E-4		M
1706	Sus scrofa	P41367	1.3.8.7	kcat		0.46		0.01	s^(-1)
1706	Sus scrofa	P41367	1.3.8.7	Km	3-Indolepropionyl-CoA	1.03E-5		6.0E-7	M
1707	Sus scrofa	P41367	1.3.8.7	Km	Furylpropionyl-CoA	1.44E-5		7.0E-7	M
1707	Sus scrofa	P41367	1.3.8.7	kcat		13.2		0.2	s^(-1)
1707	Sus scrofa	P41367	1.3.8.7	concentration	Ferricenium hexafluorophosphate	2.5E-4	3.5E-4		M
1708	Sus scrofa	P41367	1.3.8.7	concentration	Ferricenium hexafluorophosphate	2.5E-4	3.5E-4		M
1708	Sus scrofa	P41367	1.3.8.7	kcat		8.6		0.1	s^(-1)
1708	Sus scrofa	P41367	1.3.8.7	Km	Decanoyl-CoA	9.4E-7		6.0E-8	M
1709	Sus scrofa	P41367	1.3.8.7	kcat		19.6		0.2	s^(-1)
1709	Sus scrofa	P41367	1.3.8.7	Km	Hexanoyl-CoA	2.3E-6		1.0E-7	M
1709	Sus scrofa	P41367	1.3.8.7	concentration	Ferricenium hexafluorophosphate	2.5E-4	3.5E-4		M
1710	Sus scrofa	P41367	1.3.8.7	concentration	Ferricenium hexafluorophosphate	2.5E-4	3.5E-4		M
